year,week,loc,state,country,loc_type,number,event
1924,3,TOLEDO,OH,US,CITY,0,CASES
1924,4,TOLEDO,OH,US,CITY,0,CASES
1924,5,TOLEDO,OH,US,CITY,0,CASES
1924,6,TOLEDO,OH,US,CITY,0,CASES
1924,7,TOLEDO,OH,US,CITY,0,CASES
1924,8,TOLEDO,OH,US,CITY,0,CASES
1924,9,TOLEDO,OH,US,CITY,0,CASES
1924,10,TOLEDO,OH,US,CITY,0,CASES
1924,11,TOLEDO,OH,US,CITY,0,CASES
1924,12,TOLEDO,OH,US,CITY,2,CASES
1924,13,TOLEDO,OH,US,CITY,0,CASES
1924,14,TOLEDO,OH,US,CITY,2,CASES
1924,15,TOLEDO,OH,US,CITY,1,CASES
1924,16,TOLEDO,OH,US,CITY,0,CASES
1924,17,TOLEDO,OH,US,CITY,2,CASES
1924,18,TOLEDO,OH,US,CITY,0,CASES
1924,19,TOLEDO,OH,US,CITY,3,CASES
1924,20,TOLEDO,OH,US,CITY,1,CASES
1924,21,TOLEDO,OH,US,CITY,0,CASES
1924,22,TOLEDO,OH,US,CITY,0,CASES
1924,23,TOLEDO,OH,US,CITY,0,CASES
1924,24,TOLEDO,OH,US,CITY,0,CASES
1924,25,TOLEDO,OH,US,CITY,2,CASES
1924,26,TOLEDO,OH,US,CITY,1,CASES
1924,27,TOLEDO,OH,US,CITY,0,CASES
1924,28,TOLEDO,OH,US,CITY,0,CASES
1924,29,TOLEDO,OH,US,CITY,0,CASES
1924,30,TOLEDO,OH,US,CITY,0,CASES
1924,31,TOLEDO,OH,US,CITY,0,CASES
1924,32,TOLEDO,OH,US,CITY,0,CASES
1924,33,TOLEDO,OH,US,CITY,0,CASES
1924,34,TOLEDO,OH,US,CITY,0,CASES
1924,35,TOLEDO,OH,US,CITY,0,CASES
1924,37,TOLEDO,OH,US,CITY,0,CASES
1924,38,TOLEDO,OH,US,CITY,0,CASES
1924,39,TOLEDO,OH,US,CITY,0,CASES
1924,40,TOLEDO,OH,US,CITY,0,CASES
1924,41,TOLEDO,OH,US,CITY,2,CASES
1924,42,TOLEDO,OH,US,CITY,0,CASES
1924,43,TOLEDO,OH,US,CITY,2,CASES
1924,44,TOLEDO,OH,US,CITY,0,CASES
1924,45,TOLEDO,OH,US,CITY,0,CASES
1924,46,TOLEDO,OH,US,CITY,0,CASES
1924,47,TOLEDO,OH,US,CITY,0,CASES
1924,48,TOLEDO,OH,US,CITY,1,CASES
1924,49,TOLEDO,OH,US,CITY,0,CASES
1924,50,TOLEDO,OH,US,CITY,0,CASES
1924,51,TOLEDO,OH,US,CITY,0,CASES
1924,52,TOLEDO,OH,US,CITY,0,CASES
1924,53,TOLEDO,OH,US,CITY,0,CASES
1925,1,TOLEDO,OH,US,CITY,2,CASES
1925,2,TOLEDO,OH,US,CITY,0,CASES
1925,3,TOLEDO,OH,US,CITY,2,CASES
1925,4,TOLEDO,OH,US,CITY,4,CASES
1925,5,TOLEDO,OH,US,CITY,0,CASES
1925,6,TOLEDO,OH,US,CITY,0,CASES
1925,7,TOLEDO,OH,US,CITY,1,CASES
1925,8,TOLEDO,OH,US,CITY,1,CASES
1925,9,TOLEDO,OH,US,CITY,1,CASES
1925,10,TOLEDO,OH,US,CITY,0,CASES
1925,11,TOLEDO,OH,US,CITY,0,CASES
1925,12,TOLEDO,OH,US,CITY,3,CASES
1925,13,TOLEDO,OH,US,CITY,2,CASES
1925,14,TOLEDO,OH,US,CITY,0,CASES
1925,15,TOLEDO,OH,US,CITY,0,CASES
1925,16,TOLEDO,OH,US,CITY,1,CASES
1925,17,TOLEDO,OH,US,CITY,1,CASES
1925,18,TOLEDO,OH,US,CITY,0,CASES
1925,19,TOLEDO,OH,US,CITY,1,CASES
1925,20,TOLEDO,OH,US,CITY,2,CASES
1925,21,TOLEDO,OH,US,CITY,0,CASES
1925,22,TOLEDO,OH,US,CITY,0,CASES
1925,23,TOLEDO,OH,US,CITY,0,CASES
1925,25,TOLEDO,OH,US,CITY,1,CASES
1925,26,TOLEDO,OH,US,CITY,0,CASES
1925,27,TOLEDO,OH,US,CITY,0,CASES
1925,28,TOLEDO,OH,US,CITY,0,CASES
1925,29,TOLEDO,OH,US,CITY,0,CASES
1925,30,TOLEDO,OH,US,CITY,1,CASES
1925,31,TOLEDO,OH,US,CITY,0,CASES
1925,32,TOLEDO,OH,US,CITY,0,CASES
1925,33,TOLEDO,OH,US,CITY,0,CASES
1925,34,TOLEDO,OH,US,CITY,0,CASES
1925,35,TOLEDO,OH,US,CITY,0,CASES
1925,36,TOLEDO,OH,US,CITY,0,CASES
1925,37,TOLEDO,OH,US,CITY,0,CASES
1925,38,TOLEDO,OH,US,CITY,0,CASES
1925,39,TOLEDO,OH,US,CITY,0,CASES
1925,40,TOLEDO,OH,US,CITY,0,CASES
1925,41,TOLEDO,OH,US,CITY,0,CASES
1925,42,TOLEDO,OH,US,CITY,0,CASES
1925,43,TOLEDO,OH,US,CITY,0,CASES
1925,44,TOLEDO,OH,US,CITY,0,CASES
1925,45,TOLEDO,OH,US,CITY,0,CASES
1925,46,TOLEDO,OH,US,CITY,0,CASES
1925,47,TOLEDO,OH,US,CITY,0,CASES
1925,48,TOLEDO,OH,US,CITY,0,CASES
1925,49,TOLEDO,OH,US,CITY,0,CASES
1925,50,TOLEDO,OH,US,CITY,0,CASES
1925,51,TOLEDO,OH,US,CITY,0,CASES
1925,52,TOLEDO,OH,US,CITY,0,CASES
1926,1,TOLEDO,OH,US,CITY,0,CASES
1926,2,TOLEDO,OH,US,CITY,0,CASES
1926,3,TOLEDO,OH,US,CITY,0,CASES
1926,4,TOLEDO,OH,US,CITY,0,CASES
1926,5,TOLEDO,OH,US,CITY,0,CASES
1926,6,TOLEDO,OH,US,CITY,0,CASES
1926,7,TOLEDO,OH,US,CITY,0,CASES
1926,8,TOLEDO,OH,US,CITY,0,CASES
1926,9,TOLEDO,OH,US,CITY,0,CASES
1926,10,TOLEDO,OH,US,CITY,1,CASES
1926,11,TOLEDO,OH,US,CITY,0,CASES
1926,12,TOLEDO,OH,US,CITY,0,CASES
1926,13,TOLEDO,OH,US,CITY,0,CASES
1926,14,TOLEDO,OH,US,CITY,0,CASES
1926,15,TOLEDO,OH,US,CITY,0,CASES
1926,16,TOLEDO,OH,US,CITY,1,CASES
1926,17,TOLEDO,OH,US,CITY,0,CASES
1926,18,TOLEDO,OH,US,CITY,0,CASES
1926,19,TOLEDO,OH,US,CITY,0,CASES
1926,20,TOLEDO,OH,US,CITY,0,CASES
1926,21,TOLEDO,OH,US,CITY,0,CASES
1926,22,TOLEDO,OH,US,CITY,0,CASES
1926,23,TOLEDO,OH,US,CITY,0,CASES
1926,24,TOLEDO,OH,US,CITY,0,CASES
1926,25,TOLEDO,OH,US,CITY,0,CASES
1926,26,TOLEDO,OH,US,CITY,0,CASES
1926,27,TOLEDO,OH,US,CITY,0,CASES
1926,28,TOLEDO,OH,US,CITY,0,CASES
1926,29,TOLEDO,OH,US,CITY,0,CASES
1926,30,TOLEDO,OH,US,CITY,0,CASES
1926,31,TOLEDO,OH,US,CITY,0,CASES
1926,32,TOLEDO,OH,US,CITY,0,CASES
1926,33,TOLEDO,OH,US,CITY,0,CASES
1926,34,TOLEDO,OH,US,CITY,0,CASES
1926,35,TOLEDO,OH,US,CITY,0,CASES
1926,36,TOLEDO,OH,US,CITY,0,CASES
1926,37,TOLEDO,OH,US,CITY,0,CASES
1926,38,TOLEDO,OH,US,CITY,0,CASES
1926,39,TOLEDO,OH,US,CITY,0,CASES
