year,week,loc,state,country,loc_type,number,event
1920,5,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,8,TRAVERSE CITY,MI,US,CITY,2,CASES
1920,34,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,35,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,38,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,39,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,40,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,45,TRAVERSE CITY,MI,US,CITY,1,CASES
1920,47,TRAVERSE CITY,MI,US,CITY,3,CASES
1920,48,TRAVERSE CITY,MI,US,CITY,3,CASES
1920,52,TRAVERSE CITY,MI,US,CITY,2,CASES
