year,week,loc,state,country,loc_type,number,event
1910,5,TRENTON,NJ,US,CITY,1,CASES
1909,17,TRENTON,NJ,US,CITY,2,CASES
1903,52,TRENTON,NJ,US,CITY,2,CASES
1913,23,TRENTON,NJ,US,CITY,1,CASES
1914,24,TRENTON,NJ,US,CITY,1,CASES
1920,34,TRENTON,NJ,US,CITY,3,CASES
1921,12,TRENTON,NJ,US,CITY,1,CASES
1921,16,TRENTON,NJ,US,CITY,3,CASES
1921,17,TRENTON,NJ,US,CITY,1,CASES
1921,18,TRENTON,NJ,US,CITY,2,CASES
1921,19,TRENTON,NJ,US,CITY,2,CASES
1921,22,TRENTON,NJ,US,CITY,2,CASES
1921,25,TRENTON,NJ,US,CITY,2,CASES
1921,26,TRENTON,NJ,US,CITY,1,CASES
1921,27,TRENTON,NJ,US,CITY,1,CASES
1921,28,TRENTON,NJ,US,CITY,1,CASES
1922,19,TRENTON,NJ,US,CITY,1,CASES
1923,25,TRENTON,NJ,US,CITY,1,CASES
1923,27,TRENTON,NJ,US,CITY,2,CASES
1923,29,TRENTON,NJ,US,CITY,1,CASES
1923,31,TRENTON,NJ,US,CITY,4,CASES
1924,1,TRENTON,NJ,US,CITY,0,CASES
1924,2,TRENTON,NJ,US,CITY,0,CASES
1924,3,TRENTON,NJ,US,CITY,0,CASES
1924,4,TRENTON,NJ,US,CITY,0,CASES
1924,5,TRENTON,NJ,US,CITY,0,CASES
1924,6,TRENTON,NJ,US,CITY,0,CASES
1924,7,TRENTON,NJ,US,CITY,0,CASES
1924,8,TRENTON,NJ,US,CITY,0,CASES
1924,10,TRENTON,NJ,US,CITY,0,CASES
1924,11,TRENTON,NJ,US,CITY,2,CASES
1924,12,TRENTON,NJ,US,CITY,0,CASES
1924,13,TRENTON,NJ,US,CITY,0,CASES
1924,14,TRENTON,NJ,US,CITY,0,CASES
1924,15,TRENTON,NJ,US,CITY,0,CASES
1924,16,TRENTON,NJ,US,CITY,0,CASES
1924,17,TRENTON,NJ,US,CITY,0,CASES
1924,18,TRENTON,NJ,US,CITY,0,CASES
1924,19,TRENTON,NJ,US,CITY,0,CASES
1924,20,TRENTON,NJ,US,CITY,0,CASES
1924,21,TRENTON,NJ,US,CITY,0,CASES
1924,22,TRENTON,NJ,US,CITY,0,CASES
1924,23,TRENTON,NJ,US,CITY,0,CASES
1924,24,TRENTON,NJ,US,CITY,7,CASES
1924,25,TRENTON,NJ,US,CITY,5,CASES
1924,26,TRENTON,NJ,US,CITY,2,CASES
