year,week,loc,state,country,loc_type,number,event
1918,22,TRINIDAD,CO,US,CITY,1,CASES
1918,23,TRINIDAD,CO,US,CITY,1,CASES
1918,25,TRINIDAD,CO,US,CITY,1,CASES
1920,3,TRINIDAD,CO,US,CITY,1,CASES
1920,4,TRINIDAD,CO,US,CITY,4,CASES
1920,5,TRINIDAD,CO,US,CITY,1,CASES
1920,8,TRINIDAD,CO,US,CITY,1,CASES
1920,10,TRINIDAD,CO,US,CITY,4,CASES
1920,12,TRINIDAD,CO,US,CITY,1,CASES
1920,13,TRINIDAD,CO,US,CITY,2,CASES
1920,14,TRINIDAD,CO,US,CITY,2,CASES
1920,20,TRINIDAD,CO,US,CITY,1,CASES
1920,22,TRINIDAD,CO,US,CITY,1,CASES
1921,9,TRINIDAD,CO,US,CITY,2,CASES
1921,11,TRINIDAD,CO,US,CITY,2,CASES
1921,16,TRINIDAD,CO,US,CITY,5,CASES
1921,26,TRINIDAD,CO,US,CITY,1,CASES
1921,52,TRINIDAD,CO,US,CITY,1,CASES
1923,21,TRINIDAD,CO,US,CITY,1,CASES
