year,week,loc,state,country,loc_type,number,event
1916,30,TROY,NY,US,CITY,1,CASES
1916,35,TROY,NY,US,CITY,3,CASES
1916,37,TROY,NY,US,CITY,3,CASES
1916,38,TROY,NY,US,CITY,4,CASES
1916,39,TROY,NY,US,CITY,1,CASES
1916,41,TROY,NY,US,CITY,3,CASES
1916,42,TROY,NY,US,CITY,1,CASES
1916,49,TROY,NY,US,CITY,1,CASES
1917,32,TROY,NY,US,CITY,1,CASES
1917,36,TROY,NY,US,CITY,2,CASES
1918,5,TROY,NY,US,CITY,1,CASES
1920,34,TROY,NY,US,CITY,1,CASES
1921,34,TROY,NY,US,CITY,1,CASES
1921,35,TROY,NY,US,CITY,1,CASES
1921,40,TROY,NY,US,CITY,1,CASES
1921,45,TROY,NY,US,CITY,1,CASES
1922,16,TROY,NY,US,CITY,1,CASES
1922,35,TROY,NY,US,CITY,1,CASES
1923,52,TROY,NY,US,CITY,1,CASES
