year,week,loc,state,country,loc_type,number,event
1915,10,TROY,NY,US,CITY,5,CASES
1915,50,TROY,NY,US,CITY,14,CASES
1915,51,TROY,NY,US,CITY,7,CASES
1915,52,TROY,NY,US,CITY,6,CASES
1916,1,TROY,NY,US,CITY,6,CASES
1916,2,TROY,NY,US,CITY,3,CASES
1916,3,TROY,NY,US,CITY,5,CASES
1916,4,TROY,NY,US,CITY,9,CASES
1916,7,TROY,NY,US,CITY,6,CASES
1916,8,TROY,NY,US,CITY,7,CASES
1916,9,TROY,NY,US,CITY,7,CASES
1916,11,TROY,NY,US,CITY,5,CASES
1916,12,TROY,NY,US,CITY,4,CASES
1916,14,TROY,NY,US,CITY,7,CASES
1916,15,TROY,NY,US,CITY,8,CASES
1916,16,TROY,NY,US,CITY,10,CASES
1916,17,TROY,NY,US,CITY,7,CASES
1916,18,TROY,NY,US,CITY,9,CASES
1916,19,TROY,NY,US,CITY,2,CASES
1916,21,TROY,NY,US,CITY,6,CASES
1916,22,TROY,NY,US,CITY,6,CASES
1916,23,TROY,NY,US,CITY,5,CASES
1916,24,TROY,NY,US,CITY,2,CASES
1916,25,TROY,NY,US,CITY,2,CASES
1916,26,TROY,NY,US,CITY,3,CASES
1916,29,TROY,NY,US,CITY,1,CASES
1916,34,TROY,NY,US,CITY,2,CASES
1916,35,TROY,NY,US,CITY,1,CASES
1916,38,TROY,NY,US,CITY,1,CASES
1916,39,TROY,NY,US,CITY,1,CASES
1916,40,TROY,NY,US,CITY,1,CASES
1916,42,TROY,NY,US,CITY,1,CASES
1916,43,TROY,NY,US,CITY,2,CASES
1916,45,TROY,NY,US,CITY,4,CASES
1916,46,TROY,NY,US,CITY,1,CASES
1916,47,TROY,NY,US,CITY,1,CASES
1916,48,TROY,NY,US,CITY,4,CASES
1916,49,TROY,NY,US,CITY,1,CASES
1916,50,TROY,NY,US,CITY,4,CASES
1916,51,TROY,NY,US,CITY,6,CASES
1917,1,TROY,NY,US,CITY,2,CASES
1917,2,TROY,NY,US,CITY,3,CASES
1917,3,TROY,NY,US,CITY,4,CASES
1917,4,TROY,NY,US,CITY,5,CASES
1917,5,TROY,NY,US,CITY,3,CASES
1917,6,TROY,NY,US,CITY,9,CASES
1917,7,TROY,NY,US,CITY,10,CASES
1917,8,TROY,NY,US,CITY,3,CASES
1917,9,TROY,NY,US,CITY,5,CASES
1917,10,TROY,NY,US,CITY,4,CASES
1917,11,TROY,NY,US,CITY,6,CASES
1917,12,TROY,NY,US,CITY,11,CASES
1917,13,TROY,NY,US,CITY,11,CASES
1917,14,TROY,NY,US,CITY,4,CASES
1917,15,TROY,NY,US,CITY,2,CASES
1917,16,TROY,NY,US,CITY,8,CASES
1917,17,TROY,NY,US,CITY,7,CASES
1917,19,TROY,NY,US,CITY,6,CASES
1917,20,TROY,NY,US,CITY,5,CASES
1917,21,TROY,NY,US,CITY,1,CASES
1917,22,TROY,NY,US,CITY,7,CASES
1917,23,TROY,NY,US,CITY,1,CASES
1917,24,TROY,NY,US,CITY,4,CASES
1917,25,TROY,NY,US,CITY,3,CASES
1917,26,TROY,NY,US,CITY,2,CASES
1917,27,TROY,NY,US,CITY,7,CASES
1917,28,TROY,NY,US,CITY,3,CASES
1917,29,TROY,NY,US,CITY,2,CASES
1917,33,TROY,NY,US,CITY,1,CASES
1917,35,TROY,NY,US,CITY,2,CASES
1917,36,TROY,NY,US,CITY,1,CASES
1917,37,TROY,NY,US,CITY,1,CASES
1917,41,TROY,NY,US,CITY,2,CASES
1917,45,TROY,NY,US,CITY,1,CASES
1917,46,TROY,NY,US,CITY,1,CASES
1917,47,TROY,NY,US,CITY,4,CASES
1917,48,TROY,NY,US,CITY,4,CASES
1917,49,TROY,NY,US,CITY,8,CASES
1917,50,TROY,NY,US,CITY,5,CASES
1917,51,TROY,NY,US,CITY,2,CASES
1917,52,TROY,NY,US,CITY,5,CASES
1918,1,TROY,NY,US,CITY,7,CASES
1918,3,TROY,NY,US,CITY,1,CASES
1918,4,TROY,NY,US,CITY,3,CASES
1918,5,TROY,NY,US,CITY,5,CASES
1918,6,TROY,NY,US,CITY,2,CASES
1918,7,TROY,NY,US,CITY,5,CASES
1918,8,TROY,NY,US,CITY,2,CASES
1918,9,TROY,NY,US,CITY,6,CASES
1918,10,TROY,NY,US,CITY,4,CASES
1918,11,TROY,NY,US,CITY,4,CASES
