year,week,loc,state,country,loc_type,number,event
1918,20,WALLA WALLA,WA,US,CITY,1,CASES
1918,27,WALLA WALLA,WA,US,CITY,1,CASES
1918,29,WALLA WALLA,WA,US,CITY,1,CASES
1918,33,WALLA WALLA,WA,US,CITY,1,CASES
1918,35,WALLA WALLA,WA,US,CITY,2,CASES
1918,42,WALLA WALLA,WA,US,CITY,1,CASES
1919,12,WALLA WALLA,WA,US,CITY,1,CASES
1919,15,WALLA WALLA,WA,US,CITY,4,CASES
1919,19,WALLA WALLA,WA,US,CITY,2,CASES
1919,20,WALLA WALLA,WA,US,CITY,2,CASES
1919,21,WALLA WALLA,WA,US,CITY,1,CASES
1919,22,WALLA WALLA,WA,US,CITY,2,CASES
1919,23,WALLA WALLA,WA,US,CITY,1,CASES
1919,24,WALLA WALLA,WA,US,CITY,2,CASES
1919,25,WALLA WALLA,WA,US,CITY,1,CASES
1919,26,WALLA WALLA,WA,US,CITY,1,CASES
1919,27,WALLA WALLA,WA,US,CITY,1,CASES
1919,29,WALLA WALLA,WA,US,CITY,1,CASES
1919,31,WALLA WALLA,WA,US,CITY,1,CASES
1919,33,WALLA WALLA,WA,US,CITY,1,CASES
1919,37,WALLA WALLA,WA,US,CITY,1,CASES
1919,40,WALLA WALLA,WA,US,CITY,1,CASES
1919,41,WALLA WALLA,WA,US,CITY,4,CASES
1919,42,WALLA WALLA,WA,US,CITY,10,CASES
1919,43,WALLA WALLA,WA,US,CITY,6,CASES
1919,45,WALLA WALLA,WA,US,CITY,11,CASES
1919,46,WALLA WALLA,WA,US,CITY,6,CASES
1919,47,WALLA WALLA,WA,US,CITY,18,CASES
1919,48,WALLA WALLA,WA,US,CITY,8,CASES
1919,49,WALLA WALLA,WA,US,CITY,4,CASES
1919,51,WALLA WALLA,WA,US,CITY,4,CASES
1919,52,WALLA WALLA,WA,US,CITY,1,CASES
1919,53,WALLA WALLA,WA,US,CITY,4,CASES
1920,1,WALLA WALLA,WA,US,CITY,4,CASES
1920,3,WALLA WALLA,WA,US,CITY,2,CASES
1920,4,WALLA WALLA,WA,US,CITY,3,CASES
1920,7,WALLA WALLA,WA,US,CITY,6,CASES
1920,8,WALLA WALLA,WA,US,CITY,12,CASES
1920,9,WALLA WALLA,WA,US,CITY,7,CASES
1920,10,WALLA WALLA,WA,US,CITY,5,CASES
1920,11,WALLA WALLA,WA,US,CITY,1,CASES
1920,12,WALLA WALLA,WA,US,CITY,4,CASES
1920,14,WALLA WALLA,WA,US,CITY,6,CASES
1920,17,WALLA WALLA,WA,US,CITY,5,CASES
1920,18,WALLA WALLA,WA,US,CITY,5,CASES
1920,19,WALLA WALLA,WA,US,CITY,5,CASES
1920,20,WALLA WALLA,WA,US,CITY,2,CASES
1920,21,WALLA WALLA,WA,US,CITY,3,CASES
1920,22,WALLA WALLA,WA,US,CITY,1,CASES
1920,23,WALLA WALLA,WA,US,CITY,1,CASES
1920,24,WALLA WALLA,WA,US,CITY,1,CASES
1920,28,WALLA WALLA,WA,US,CITY,1,CASES
1920,35,WALLA WALLA,WA,US,CITY,1,CASES
1920,37,WALLA WALLA,WA,US,CITY,1,CASES
1920,39,WALLA WALLA,WA,US,CITY,2,CASES
1920,42,WALLA WALLA,WA,US,CITY,5,CASES
1920,48,WALLA WALLA,WA,US,CITY,5,CASES
1920,49,WALLA WALLA,WA,US,CITY,2,CASES
1920,51,WALLA WALLA,WA,US,CITY,1,CASES
1921,5,WALLA WALLA,WA,US,CITY,1,CASES
1921,18,WALLA WALLA,WA,US,CITY,1,CASES
1921,20,WALLA WALLA,WA,US,CITY,3,CASES
1921,23,WALLA WALLA,WA,US,CITY,1,CASES
1921,29,WALLA WALLA,WA,US,CITY,1,CASES
1921,37,WALLA WALLA,WA,US,CITY,1,CASES
1921,38,WALLA WALLA,WA,US,CITY,2,CASES
1921,40,WALLA WALLA,WA,US,CITY,1,CASES
1921,43,WALLA WALLA,WA,US,CITY,1,CASES
1921,46,WALLA WALLA,WA,US,CITY,13,CASES
1921,47,WALLA WALLA,WA,US,CITY,6,CASES
1921,49,WALLA WALLA,WA,US,CITY,28,CASES
1921,50,WALLA WALLA,WA,US,CITY,3,CASES
1921,51,WALLA WALLA,WA,US,CITY,9,CASES
1921,52,WALLA WALLA,WA,US,CITY,3,CASES
1922,1,WALLA WALLA,WA,US,CITY,7,CASES
1922,3,WALLA WALLA,WA,US,CITY,2,CASES
1922,6,WALLA WALLA,WA,US,CITY,5,CASES
1922,7,WALLA WALLA,WA,US,CITY,1,CASES
1922,9,WALLA WALLA,WA,US,CITY,5,CASES
1922,10,WALLA WALLA,WA,US,CITY,2,CASES
1922,11,WALLA WALLA,WA,US,CITY,2,CASES
1922,12,WALLA WALLA,WA,US,CITY,1,CASES
1922,22,WALLA WALLA,WA,US,CITY,1,CASES
1922,41,WALLA WALLA,WA,US,CITY,1,CASES
1923,18,WALLA WALLA,WA,US,CITY,2,CASES
1923,25,WALLA WALLA,WA,US,CITY,1,CASES
1923,35,WALLA WALLA,WA,US,CITY,1,CASES
1923,47,WALLA WALLA,WA,US,CITY,1,CASES
1923,50,WALLA WALLA,WA,US,CITY,1,CASES
