year,week,loc,state,country,loc_type,number,event
1906,41,WALTHAM,MA,US,CITY,1,CASES
1906,44,WALTHAM,MA,US,CITY,4,CASES
1906,45,WALTHAM,MA,US,CITY,1,CASES
1906,46,WALTHAM,MA,US,CITY,1,CASES
1906,47,WALTHAM,MA,US,CITY,1,CASES
1906,48,WALTHAM,MA,US,CITY,1,CASES
1907,1,WALTHAM,MA,US,CITY,1,CASES
1907,2,WALTHAM,MA,US,CITY,1,CASES
1907,4,WALTHAM,MA,US,CITY,2,CASES
1907,5,WALTHAM,MA,US,CITY,1,CASES
1907,7,WALTHAM,MA,US,CITY,1,CASES
1907,8,WALTHAM,MA,US,CITY,3,CASES
1907,9,WALTHAM,MA,US,CITY,2,CASES
1907,10,WALTHAM,MA,US,CITY,3,CASES
1907,11,WALTHAM,MA,US,CITY,1,CASES
1907,12,WALTHAM,MA,US,CITY,4,CASES
1907,13,WALTHAM,MA,US,CITY,2,CASES
1907,14,WALTHAM,MA,US,CITY,1,CASES
1907,15,WALTHAM,MA,US,CITY,3,CASES
1907,17,WALTHAM,MA,US,CITY,1,CASES
1907,18,WALTHAM,MA,US,CITY,1,CASES
1907,20,WALTHAM,MA,US,CITY,1,CASES
1907,26,WALTHAM,MA,US,CITY,1,CASES
1907,37,WALTHAM,MA,US,CITY,1,CASES
1907,50,WALTHAM,MA,US,CITY,1,CASES
1907,52,WALTHAM,MA,US,CITY,2,CASES
1908,1,WALTHAM,MA,US,CITY,2,CASES
1908,2,WALTHAM,MA,US,CITY,2,CASES
1908,3,WALTHAM,MA,US,CITY,1,CASES
1908,4,WALTHAM,MA,US,CITY,1,CASES
1908,5,WALTHAM,MA,US,CITY,1,CASES
1908,6,WALTHAM,MA,US,CITY,1,CASES
1908,8,WALTHAM,MA,US,CITY,1,CASES
1908,10,WALTHAM,MA,US,CITY,4,CASES
1908,14,WALTHAM,MA,US,CITY,1,CASES
1908,15,WALTHAM,MA,US,CITY,3,CASES
1908,17,WALTHAM,MA,US,CITY,1,CASES
1908,19,WALTHAM,MA,US,CITY,2,CASES
1908,20,WALTHAM,MA,US,CITY,1,CASES
1908,24,WALTHAM,MA,US,CITY,1,CASES
1908,31,WALTHAM,MA,US,CITY,2,CASES
1908,37,WALTHAM,MA,US,CITY,3,CASES
1908,39,WALTHAM,MA,US,CITY,2,CASES
1908,40,WALTHAM,MA,US,CITY,1,CASES
1908,41,WALTHAM,MA,US,CITY,3,CASES
1908,42,WALTHAM,MA,US,CITY,6,CASES
1908,43,WALTHAM,MA,US,CITY,6,CASES
1908,44,WALTHAM,MA,US,CITY,5,CASES
1908,45,WALTHAM,MA,US,CITY,12,CASES
1908,46,WALTHAM,MA,US,CITY,19,CASES
1908,47,WALTHAM,MA,US,CITY,14,CASES
1908,48,WALTHAM,MA,US,CITY,13,CASES
1908,49,WALTHAM,MA,US,CITY,9,CASES
1908,50,WALTHAM,MA,US,CITY,11,CASES
1908,51,WALTHAM,MA,US,CITY,2,CASES
1908,52,WALTHAM,MA,US,CITY,3,CASES
1908,53,WALTHAM,MA,US,CITY,16,CASES
1909,1,WALTHAM,MA,US,CITY,10,CASES
1909,2,WALTHAM,MA,US,CITY,14,CASES
1909,3,WALTHAM,MA,US,CITY,5,CASES
1909,4,WALTHAM,MA,US,CITY,7,CASES
1909,5,WALTHAM,MA,US,CITY,6,CASES
1909,6,WALTHAM,MA,US,CITY,3,CASES
1909,7,WALTHAM,MA,US,CITY,8,CASES
1909,8,WALTHAM,MA,US,CITY,8,CASES
1909,9,WALTHAM,MA,US,CITY,4,CASES
