year,week,loc,state,country,loc_type,number,event
1911,13,WATERBURY,CT,US,CITY,12,CASES
1911,14,WATERBURY,CT,US,CITY,2,CASES
1911,15,WATERBURY,CT,US,CITY,9,CASES
1911,17,WATERBURY,CT,US,CITY,13,CASES
1911,19,WATERBURY,CT,US,CITY,3,CASES
1911,21,WATERBURY,CT,US,CITY,8,CASES
1911,23,WATERBURY,CT,US,CITY,5,CASES
1911,25,WATERBURY,CT,US,CITY,1,CASES
1918,52,WATERBURY,CT,US,CITY,3,CASES
1919,1,WATERBURY,CT,US,CITY,4,CASES
1919,2,WATERBURY,CT,US,CITY,3,CASES
1919,3,WATERBURY,CT,US,CITY,6,CASES
1919,4,WATERBURY,CT,US,CITY,5,CASES
1919,6,WATERBURY,CT,US,CITY,3,CASES
1919,7,WATERBURY,CT,US,CITY,1,CASES
1919,8,WATERBURY,CT,US,CITY,12,CASES
1919,9,WATERBURY,CT,US,CITY,7,CASES
1919,12,WATERBURY,CT,US,CITY,5,CASES
1919,13,WATERBURY,CT,US,CITY,7,CASES
1919,15,WATERBURY,CT,US,CITY,18,CASES
1919,16,WATERBURY,CT,US,CITY,13,CASES
1919,17,WATERBURY,CT,US,CITY,4,CASES
1919,18,WATERBURY,CT,US,CITY,12,CASES
1919,19,WATERBURY,CT,US,CITY,18,CASES
1919,20,WATERBURY,CT,US,CITY,7,CASES
1919,21,WATERBURY,CT,US,CITY,3,CASES
1919,22,WATERBURY,CT,US,CITY,6,CASES
1919,23,WATERBURY,CT,US,CITY,6,CASES
1919,24,WATERBURY,CT,US,CITY,7,CASES
1919,26,WATERBURY,CT,US,CITY,2,CASES
1919,27,WATERBURY,CT,US,CITY,2,CASES
1919,28,WATERBURY,CT,US,CITY,3,CASES
1919,29,WATERBURY,CT,US,CITY,2,CASES
1919,31,WATERBURY,CT,US,CITY,1,CASES
1919,32,WATERBURY,CT,US,CITY,1,CASES
1919,35,WATERBURY,CT,US,CITY,2,CASES
1919,36,WATERBURY,CT,US,CITY,3,CASES
1919,37,WATERBURY,CT,US,CITY,2,CASES
1919,38,WATERBURY,CT,US,CITY,3,CASES
1919,39,WATERBURY,CT,US,CITY,2,CASES
1919,40,WATERBURY,CT,US,CITY,5,CASES
1919,42,WATERBURY,CT,US,CITY,10,CASES
1919,45,WATERBURY,CT,US,CITY,7,CASES
1919,46,WATERBURY,CT,US,CITY,9,CASES
1919,48,WATERBURY,CT,US,CITY,11,CASES
1919,49,WATERBURY,CT,US,CITY,2,CASES
1919,51,WATERBURY,CT,US,CITY,20,CASES
1919,52,WATERBURY,CT,US,CITY,5,CASES
1920,1,WATERBURY,CT,US,CITY,14,CASES
1920,5,WATERBURY,CT,US,CITY,15,CASES
1920,6,WATERBURY,CT,US,CITY,24,CASES
1920,8,WATERBURY,CT,US,CITY,30,CASES
1920,10,WATERBURY,CT,US,CITY,35,CASES
1920,11,WATERBURY,CT,US,CITY,9,CASES
1920,13,WATERBURY,CT,US,CITY,11,CASES
1920,14,WATERBURY,CT,US,CITY,29,CASES
1920,15,WATERBURY,CT,US,CITY,25,CASES
1920,18,WATERBURY,CT,US,CITY,15,CASES
1920,19,WATERBURY,CT,US,CITY,14,CASES
1920,20,WATERBURY,CT,US,CITY,17,CASES
1920,21,WATERBURY,CT,US,CITY,12,CASES
1920,22,WATERBURY,CT,US,CITY,6,CASES
1920,23,WATERBURY,CT,US,CITY,14,CASES
1920,24,WATERBURY,CT,US,CITY,5,CASES
1920,25,WATERBURY,CT,US,CITY,7,CASES
1920,26,WATERBURY,CT,US,CITY,5,CASES
1920,28,WATERBURY,CT,US,CITY,1,CASES
1920,30,WATERBURY,CT,US,CITY,1,CASES
1920,31,WATERBURY,CT,US,CITY,1,CASES
1920,32,WATERBURY,CT,US,CITY,12,CASES
1920,36,WATERBURY,CT,US,CITY,2,CASES
1920,38,WATERBURY,CT,US,CITY,2,CASES
1920,41,WATERBURY,CT,US,CITY,4,CASES
