year,week,loc,state,country,loc_type,number,event
1917,8,WATERTOWN,NY,US,CITY,3,CASES
1917,10,WATERTOWN,NY,US,CITY,1,CASES
1917,26,WATERTOWN,NY,US,CITY,1,CASES
1917,27,WATERTOWN,NY,US,CITY,2,CASES
1917,29,WATERTOWN,NY,US,CITY,1,CASES
1917,38,WATERTOWN,NY,US,CITY,1,CASES
1917,39,WATERTOWN,NY,US,CITY,2,CASES
1917,42,WATERTOWN,NY,US,CITY,1,CASES
1917,43,WATERTOWN,NY,US,CITY,1,CASES
1917,47,WATERTOWN,NY,US,CITY,1,CASES
1917,48,WATERTOWN,NY,US,CITY,1,CASES
1917,49,WATERTOWN,NY,US,CITY,1,CASES
1919,7,WATERTOWN,NY,US,CITY,1,CASES
1919,17,WATERTOWN,NY,US,CITY,1,CASES
1919,18,WATERTOWN,NY,US,CITY,1,CASES
1919,19,WATERTOWN,NY,US,CITY,1,CASES
1919,26,WATERTOWN,NY,US,CITY,1,CASES
1919,29,WATERTOWN,NY,US,CITY,1,CASES
1919,30,WATERTOWN,NY,US,CITY,2,CASES
1919,32,WATERTOWN,NY,US,CITY,2,CASES
1919,36,WATERTOWN,NY,US,CITY,2,CASES
1919,40,WATERTOWN,NY,US,CITY,2,CASES
1919,45,WATERTOWN,NY,US,CITY,1,CASES
1919,46,WATERTOWN,NY,US,CITY,1,CASES
1919,47,WATERTOWN,NY,US,CITY,12,CASES
1919,48,WATERTOWN,NY,US,CITY,12,CASES
1919,49,WATERTOWN,NY,US,CITY,3,CASES
1919,51,WATERTOWN,NY,US,CITY,5,CASES
1919,52,WATERTOWN,NY,US,CITY,2,CASES
1919,53,WATERTOWN,NY,US,CITY,3,CASES
1920,1,WATERTOWN,NY,US,CITY,6,CASES
1920,2,WATERTOWN,NY,US,CITY,3,CASES
1920,3,WATERTOWN,NY,US,CITY,1,CASES
1920,3,WATERTOWN,NY,US,CITY,7,CASES
1920,5,WATERTOWN,NY,US,CITY,2,CASES
1920,6,WATERTOWN,NY,US,CITY,5,CASES
1920,7,WATERTOWN,NY,US,CITY,5,CASES
1920,8,WATERTOWN,NY,US,CITY,3,CASES
1920,10,WATERTOWN,NY,US,CITY,1,CASES
1920,11,WATERTOWN,NY,US,CITY,6,CASES
1920,12,WATERTOWN,NY,US,CITY,8,CASES
1920,13,WATERTOWN,NY,US,CITY,2,CASES
1920,14,WATERTOWN,NY,US,CITY,3,CASES
1920,15,WATERTOWN,NY,US,CITY,8,CASES
1920,16,WATERTOWN,NY,US,CITY,6,CASES
1920,17,WATERTOWN,NY,US,CITY,1,CASES
1920,18,WATERTOWN,NY,US,CITY,1,CASES
1920,19,WATERTOWN,NY,US,CITY,2,CASES
1920,20,WATERTOWN,NY,US,CITY,1,CASES
1920,21,WATERTOWN,NY,US,CITY,2,CASES
1920,22,WATERTOWN,NY,US,CITY,1,CASES
1920,24,WATERTOWN,NY,US,CITY,1,CASES
1920,26,WATERTOWN,NY,US,CITY,1,CASES
1920,29,WATERTOWN,NY,US,CITY,2,CASES
1920,30,WATERTOWN,NY,US,CITY,1,CASES
1920,33,WATERTOWN,NY,US,CITY,1,CASES
1920,34,WATERTOWN,NY,US,CITY,2,CASES
1920,38,WATERTOWN,NY,US,CITY,1,CASES
1920,42,WATERTOWN,NY,US,CITY,1,CASES
1920,45,WATERTOWN,NY,US,CITY,1,CASES
1920,48,WATERTOWN,NY,US,CITY,3,CASES
1920,49,WATERTOWN,NY,US,CITY,3,CASES
1920,50,WATERTOWN,NY,US,CITY,5,CASES
1920,52,WATERTOWN,NY,US,CITY,7,CASES
1921,2,WATERTOWN,NY,US,CITY,7,CASES
1921,3,WATERTOWN,NY,US,CITY,11,CASES
1921,33,WATERTOWN,NY,US,CITY,1,CASES
1921,34,WATERTOWN,NY,US,CITY,1,CASES
1921,43,WATERTOWN,NY,US,CITY,1,CASES
1921,45,WATERTOWN,NY,US,CITY,1,CASES
1921,48,WATERTOWN,NY,US,CITY,4,CASES
1921,49,WATERTOWN,NY,US,CITY,2,CASES
1921,50,WATERTOWN,NY,US,CITY,2,CASES
1921,52,WATERTOWN,NY,US,CITY,6,CASES
1922,1,WATERTOWN,NY,US,CITY,1,CASES
1922,2,WATERTOWN,NY,US,CITY,1,CASES
1922,4,WATERTOWN,NY,US,CITY,5,CASES
