year,week,loc,state,country,loc_type,number,event
1907,11,WAUSAU,WI,US,CITY,1,CASES
1907,13,WAUSAU,WI,US,CITY,1,CASES
1907,14,WAUSAU,WI,US,CITY,9,CASES
1907,17,WAUSAU,WI,US,CITY,10,CASES
1907,15,WAUSAU,WI,US,CITY,10,CASES
1907,16,WAUSAU,WI,US,CITY,10,CASES
1918,14,WAUSAU,WI,US,CITY,28,CASES
1918,15,WAUSAU,WI,US,CITY,1,CASES
1918,18,WAUSAU,WI,US,CITY,4,CASES
1918,37,WAUSAU,WI,US,CITY,1,CASES
1918,38,WAUSAU,WI,US,CITY,1,CASES
1919,1,WAUSAU,WI,US,CITY,1,CASES
1919,2,WAUSAU,WI,US,CITY,2,CASES
1919,3,WAUSAU,WI,US,CITY,1,CASES
1919,7,WAUSAU,WI,US,CITY,1,CASES
1919,8,WAUSAU,WI,US,CITY,3,CASES
1919,11,WAUSAU,WI,US,CITY,1,CASES
1919,13,WAUSAU,WI,US,CITY,1,CASES
1919,14,WAUSAU,WI,US,CITY,1,CASES
1919,17,WAUSAU,WI,US,CITY,1,CASES
1919,20,WAUSAU,WI,US,CITY,1,CASES
1919,21,WAUSAU,WI,US,CITY,2,CASES
1919,25,WAUSAU,WI,US,CITY,1,CASES
1919,27,WAUSAU,WI,US,CITY,2,CASES
1919,29,WAUSAU,WI,US,CITY,1,CASES
1919,43,WAUSAU,WI,US,CITY,1,CASES
1919,46,WAUSAU,WI,US,CITY,2,CASES
1920,1,WAUSAU,WI,US,CITY,3,CASES
1920,2,WAUSAU,WI,US,CITY,1,CASES
1920,3,WAUSAU,WI,US,CITY,10,CASES
1920,3,WAUSAU,WI,US,CITY,12,CASES
1920,5,WAUSAU,WI,US,CITY,48,CASES
1920,6,WAUSAU,WI,US,CITY,27,CASES
1920,7,WAUSAU,WI,US,CITY,56,CASES
1920,8,WAUSAU,WI,US,CITY,63,CASES
1920,9,WAUSAU,WI,US,CITY,33,CASES
1920,10,WAUSAU,WI,US,CITY,62,CASES
1920,11,WAUSAU,WI,US,CITY,44,CASES
1920,12,WAUSAU,WI,US,CITY,69,CASES
1920,13,WAUSAU,WI,US,CITY,45,CASES
1920,14,WAUSAU,WI,US,CITY,59,CASES
1920,15,WAUSAU,WI,US,CITY,27,CASES
1920,16,WAUSAU,WI,US,CITY,12,CASES
1920,17,WAUSAU,WI,US,CITY,15,CASES
1920,18,WAUSAU,WI,US,CITY,17,CASES
1920,19,WAUSAU,WI,US,CITY,7,CASES
1920,20,WAUSAU,WI,US,CITY,8,CASES
1920,21,WAUSAU,WI,US,CITY,5,CASES
1920,22,WAUSAU,WI,US,CITY,3,CASES
1920,23,WAUSAU,WI,US,CITY,3,CASES
1920,25,WAUSAU,WI,US,CITY,1,CASES
1920,41,WAUSAU,WI,US,CITY,1,CASES
1920,43,WAUSAU,WI,US,CITY,1,CASES
1920,47,WAUSAU,WI,US,CITY,1,CASES
1921,7,WAUSAU,WI,US,CITY,1,CASES
1921,9,WAUSAU,WI,US,CITY,2,CASES
1921,10,WAUSAU,WI,US,CITY,1,CASES
1921,11,WAUSAU,WI,US,CITY,1,CASES
1921,18,WAUSAU,WI,US,CITY,2,CASES
1921,26,WAUSAU,WI,US,CITY,1,CASES
1921,28,WAUSAU,WI,US,CITY,1,CASES
1921,41,WAUSAU,WI,US,CITY,1,CASES
1921,46,WAUSAU,WI,US,CITY,1,CASES
1921,48,WAUSAU,WI,US,CITY,2,CASES
1922,7,WAUSAU,WI,US,CITY,1,CASES
1922,8,WAUSAU,WI,US,CITY,1,CASES
1922,19,WAUSAU,WI,US,CITY,1,CASES
1922,20,WAUSAU,WI,US,CITY,1,CASES
1922,23,WAUSAU,WI,US,CITY,1,CASES
1922,24,WAUSAU,WI,US,CITY,2,CASES
1922,43,WAUSAU,WI,US,CITY,1,CASES
1922,47,WAUSAU,WI,US,CITY,3,CASES
1922,50,WAUSAU,WI,US,CITY,1,CASES
1923,1,WAUSAU,WI,US,CITY,1,CASES
1923,4,WAUSAU,WI,US,CITY,2,CASES
1923,5,WAUSAU,WI,US,CITY,3,CASES
1923,6,WAUSAU,WI,US,CITY,8,CASES
1923,7,WAUSAU,WI,US,CITY,5,CASES
1923,8,WAUSAU,WI,US,CITY,12,CASES
1923,9,WAUSAU,WI,US,CITY,7,CASES
1923,10,WAUSAU,WI,US,CITY,5,CASES
1923,11,WAUSAU,WI,US,CITY,5,CASES
1923,12,WAUSAU,WI,US,CITY,22,CASES
1923,13,WAUSAU,WI,US,CITY,7,CASES
1923,14,WAUSAU,WI,US,CITY,67,CASES
1923,15,WAUSAU,WI,US,CITY,79,CASES
1923,16,WAUSAU,WI,US,CITY,99,CASES
1923,17,WAUSAU,WI,US,CITY,148,CASES
1923,18,WAUSAU,WI,US,CITY,85,CASES
1923,19,WAUSAU,WI,US,CITY,183,CASES
1923,20,WAUSAU,WI,US,CITY,42,CASES
1923,21,WAUSAU,WI,US,CITY,103,CASES
1923,22,WAUSAU,WI,US,CITY,45,CASES
1923,23,WAUSAU,WI,US,CITY,29,CASES
1923,24,WAUSAU,WI,US,CITY,16,CASES
1923,25,WAUSAU,WI,US,CITY,6,CASES
1923,26,WAUSAU,WI,US,CITY,5,CASES
1923,27,WAUSAU,WI,US,CITY,2,CASES
1923,28,WAUSAU,WI,US,CITY,3,CASES
1923,29,WAUSAU,WI,US,CITY,4,CASES
1923,30,WAUSAU,WI,US,CITY,2,CASES
1923,31,WAUSAU,WI,US,CITY,3,CASES
1923,32,WAUSAU,WI,US,CITY,1,CASES
1923,33,WAUSAU,WI,US,CITY,1,CASES
