year,week,loc,state,country,loc_type,number,event
1916,27,WEST HOBOKEN,NJ,US,CITY,3,CASES
1916,28,WEST HOBOKEN,NJ,US,CITY,1,CASES
1916,29,WEST HOBOKEN,NJ,US,CITY,3,CASES
1916,30,WEST HOBOKEN,NJ,US,CITY,3,CASES
1916,31,WEST HOBOKEN,NJ,US,CITY,5,CASES
1916,32,WEST HOBOKEN,NJ,US,CITY,9,CASES
1916,33,WEST HOBOKEN,NJ,US,CITY,3,CASES
1921,37,WEST HOBOKEN,NJ,US,CITY,1,CASES
1921,39,WEST HOBOKEN,NJ,US,CITY,1,CASES
1923,34,WEST HOBOKEN,NJ,US,CITY,1,CASES
1923,35,WEST HOBOKEN,NJ,US,CITY,1,CASES
