year,week,loc,state,country,loc_type,number,event
1918,13,WEST ORANGE,NJ,US,CITY,1,CASES
1918,14,WEST ORANGE,NJ,US,CITY,1,CASES
1918,25,WEST ORANGE,NJ,US,CITY,2,CASES
1918,29,WEST ORANGE,NJ,US,CITY,1,CASES
1918,45,WEST ORANGE,NJ,US,CITY,1,CASES
1918,47,WEST ORANGE,NJ,US,CITY,4,CASES
1918,48,WEST ORANGE,NJ,US,CITY,7,CASES
1918,51,WEST ORANGE,NJ,US,CITY,3,CASES
1919,1,WEST ORANGE,NJ,US,CITY,4,CASES
1919,2,WEST ORANGE,NJ,US,CITY,5,CASES
1919,3,WEST ORANGE,NJ,US,CITY,1,CASES
1919,4,WEST ORANGE,NJ,US,CITY,2,CASES
1919,5,WEST ORANGE,NJ,US,CITY,1,CASES
1919,6,WEST ORANGE,NJ,US,CITY,1,CASES
1919,8,WEST ORANGE,NJ,US,CITY,2,CASES
1919,11,WEST ORANGE,NJ,US,CITY,4,CASES
1919,12,WEST ORANGE,NJ,US,CITY,5,CASES
1919,14,WEST ORANGE,NJ,US,CITY,1,CASES
1919,16,WEST ORANGE,NJ,US,CITY,1,CASES
1919,20,WEST ORANGE,NJ,US,CITY,3,CASES
1919,23,WEST ORANGE,NJ,US,CITY,3,CASES
1919,27,WEST ORANGE,NJ,US,CITY,1,CASES
1919,29,WEST ORANGE,NJ,US,CITY,1,CASES
1919,30,WEST ORANGE,NJ,US,CITY,1,CASES
1919,31,WEST ORANGE,NJ,US,CITY,1,CASES
1919,32,WEST ORANGE,NJ,US,CITY,2,CASES
1919,34,WEST ORANGE,NJ,US,CITY,2,CASES
1919,37,WEST ORANGE,NJ,US,CITY,1,CASES
1919,39,WEST ORANGE,NJ,US,CITY,2,CASES
1919,40,WEST ORANGE,NJ,US,CITY,1,CASES
1919,41,WEST ORANGE,NJ,US,CITY,1,CASES
1919,42,WEST ORANGE,NJ,US,CITY,1,CASES
1919,43,WEST ORANGE,NJ,US,CITY,2,CASES
1919,44,WEST ORANGE,NJ,US,CITY,5,CASES
1919,45,WEST ORANGE,NJ,US,CITY,6,CASES
1919,46,WEST ORANGE,NJ,US,CITY,8,CASES
1919,47,WEST ORANGE,NJ,US,CITY,6,CASES
1919,48,WEST ORANGE,NJ,US,CITY,4,CASES
1919,49,WEST ORANGE,NJ,US,CITY,1,CASES
1919,50,WEST ORANGE,NJ,US,CITY,3,CASES
1919,51,WEST ORANGE,NJ,US,CITY,2,CASES
1919,52,WEST ORANGE,NJ,US,CITY,1,CASES
1920,2,WEST ORANGE,NJ,US,CITY,2,CASES
1920,3,WEST ORANGE,NJ,US,CITY,2,CASES
1920,3,WEST ORANGE,NJ,US,CITY,1,CASES
1920,5,WEST ORANGE,NJ,US,CITY,1,CASES
1920,7,WEST ORANGE,NJ,US,CITY,1,CASES
1920,9,WEST ORANGE,NJ,US,CITY,1,CASES
1920,10,WEST ORANGE,NJ,US,CITY,1,CASES
1920,13,WEST ORANGE,NJ,US,CITY,2,CASES
1920,15,WEST ORANGE,NJ,US,CITY,2,CASES
1920,17,WEST ORANGE,NJ,US,CITY,1,CASES
1920,18,WEST ORANGE,NJ,US,CITY,1,CASES
1920,23,WEST ORANGE,NJ,US,CITY,1,CASES
1920,24,WEST ORANGE,NJ,US,CITY,1,CASES
1920,30,WEST ORANGE,NJ,US,CITY,1,CASES
1920,31,WEST ORANGE,NJ,US,CITY,1,CASES
1920,32,WEST ORANGE,NJ,US,CITY,1,CASES
1920,42,WEST ORANGE,NJ,US,CITY,5,CASES
1920,43,WEST ORANGE,NJ,US,CITY,2,CASES
1920,44,WEST ORANGE,NJ,US,CITY,3,CASES
1920,45,WEST ORANGE,NJ,US,CITY,2,CASES
1920,46,WEST ORANGE,NJ,US,CITY,3,CASES
1920,47,WEST ORANGE,NJ,US,CITY,2,CASES
1920,48,WEST ORANGE,NJ,US,CITY,1,CASES
1920,49,WEST ORANGE,NJ,US,CITY,2,CASES
1920,50,WEST ORANGE,NJ,US,CITY,2,CASES
1920,51,WEST ORANGE,NJ,US,CITY,2,CASES
1920,52,WEST ORANGE,NJ,US,CITY,3,CASES
1921,1,WEST ORANGE,NJ,US,CITY,4,CASES
1921,3,WEST ORANGE,NJ,US,CITY,1,CASES
1921,5,WEST ORANGE,NJ,US,CITY,2,CASES
1921,6,WEST ORANGE,NJ,US,CITY,1,CASES
1921,7,WEST ORANGE,NJ,US,CITY,2,CASES
1921,8,WEST ORANGE,NJ,US,CITY,5,CASES
1921,10,WEST ORANGE,NJ,US,CITY,2,CASES
1921,11,WEST ORANGE,NJ,US,CITY,1,CASES
1921,14,WEST ORANGE,NJ,US,CITY,1,CASES
1921,16,WEST ORANGE,NJ,US,CITY,3,CASES
1921,17,WEST ORANGE,NJ,US,CITY,1,CASES
1921,18,WEST ORANGE,NJ,US,CITY,3,CASES
1921,19,WEST ORANGE,NJ,US,CITY,3,CASES
