year,week,loc,state,country,loc_type,number,event
1918,20,WEST SPRINGFIELD,MA,US,CITY,5,CASES
1920,16,WEST SPRINGFIELD,MA,US,CITY,2,CASES
1920,17,WEST SPRINGFIELD,MA,US,CITY,6,CASES
1921,13,WEST SPRINGFIELD,MA,US,CITY,5,CASES
1921,21,WEST SPRINGFIELD,MA,US,CITY,7,CASES
1921,22,WEST SPRINGFIELD,MA,US,CITY,10,CASES
1921,23,WEST SPRINGFIELD,MA,US,CITY,14,CASES
1921,24,WEST SPRINGFIELD,MA,US,CITY,14,CASES
1921,26,WEST SPRINGFIELD,MA,US,CITY,6,CASES
1921,27,WEST SPRINGFIELD,MA,US,CITY,4,CASES
1921,29,WEST SPRINGFIELD,MA,US,CITY,4,CASES
1921,30,WEST SPRINGFIELD,MA,US,CITY,2,CASES
1921,31,WEST SPRINGFIELD,MA,US,CITY,1,CASES
1922,49,WEST SPRINGFIELD,MA,US,CITY,2,CASES
1922,50,WEST SPRINGFIELD,MA,US,CITY,6,CASES
1923,19,WEST SPRINGFIELD,MA,US,CITY,1,CASES
