year,week,loc,state,country,loc_type,number,event
1918,19,WESTFIELD,MA,US,CITY,1,CASES
1918,20,WESTFIELD,MA,US,CITY,2,CASES
1918,24,WESTFIELD,MA,US,CITY,1,CASES
1918,28,WESTFIELD,MA,US,CITY,1,CASES
1918,36,WESTFIELD,MA,US,CITY,1,CASES
1918,39,WESTFIELD,MA,US,CITY,1,CASES
1918,40,WESTFIELD,MA,US,CITY,1,CASES
1918,43,WESTFIELD,MA,US,CITY,2,CASES
1918,45,WESTFIELD,MA,US,CITY,1,CASES
1918,47,WESTFIELD,MA,US,CITY,1,CASES
1918,49,WESTFIELD,MA,US,CITY,3,CASES
1918,50,WESTFIELD,MA,US,CITY,2,CASES
1918,51,WESTFIELD,MA,US,CITY,5,CASES
1918,52,WESTFIELD,MA,US,CITY,4,CASES
1919,1,WESTFIELD,MA,US,CITY,3,CASES
1919,2,WESTFIELD,MA,US,CITY,6,CASES
1919,3,WESTFIELD,MA,US,CITY,3,CASES
1919,4,WESTFIELD,MA,US,CITY,7,CASES
1919,5,WESTFIELD,MA,US,CITY,1,CASES
1919,6,WESTFIELD,MA,US,CITY,4,CASES
1919,7,WESTFIELD,MA,US,CITY,2,CASES
1919,8,WESTFIELD,MA,US,CITY,2,CASES
1919,9,WESTFIELD,MA,US,CITY,5,CASES
1919,10,WESTFIELD,MA,US,CITY,1,CASES
1919,11,WESTFIELD,MA,US,CITY,1,CASES
1919,13,WESTFIELD,MA,US,CITY,1,CASES
1919,14,WESTFIELD,MA,US,CITY,3,CASES
1919,15,WESTFIELD,MA,US,CITY,1,CASES
1919,16,WESTFIELD,MA,US,CITY,5,CASES
1919,18,WESTFIELD,MA,US,CITY,2,CASES
1919,19,WESTFIELD,MA,US,CITY,3,CASES
1919,21,WESTFIELD,MA,US,CITY,1,CASES
1919,23,WESTFIELD,MA,US,CITY,2,CASES
1919,24,WESTFIELD,MA,US,CITY,1,CASES
1919,28,WESTFIELD,MA,US,CITY,2,CASES
1919,30,WESTFIELD,MA,US,CITY,3,CASES
1919,32,WESTFIELD,MA,US,CITY,1,CASES
1919,33,WESTFIELD,MA,US,CITY,1,CASES
1919,35,WESTFIELD,MA,US,CITY,1,CASES
1919,37,WESTFIELD,MA,US,CITY,1,CASES
1919,38,WESTFIELD,MA,US,CITY,4,CASES
1919,39,WESTFIELD,MA,US,CITY,2,CASES
1919,40,WESTFIELD,MA,US,CITY,3,CASES
1919,41,WESTFIELD,MA,US,CITY,1,CASES
1919,42,WESTFIELD,MA,US,CITY,3,CASES
1919,43,WESTFIELD,MA,US,CITY,3,CASES
1919,44,WESTFIELD,MA,US,CITY,6,CASES
1919,45,WESTFIELD,MA,US,CITY,7,CASES
1919,46,WESTFIELD,MA,US,CITY,7,CASES
1919,47,WESTFIELD,MA,US,CITY,7,CASES
1919,48,WESTFIELD,MA,US,CITY,3,CASES
1919,49,WESTFIELD,MA,US,CITY,6,CASES
1919,50,WESTFIELD,MA,US,CITY,10,CASES
1919,53,WESTFIELD,MA,US,CITY,3,CASES
1920,1,WESTFIELD,MA,US,CITY,2,CASES
1920,2,WESTFIELD,MA,US,CITY,2,CASES
1920,3,WESTFIELD,MA,US,CITY,3,CASES
1920,3,WESTFIELD,MA,US,CITY,3,CASES
1920,5,WESTFIELD,MA,US,CITY,1,CASES
1920,7,WESTFIELD,MA,US,CITY,2,CASES
1920,8,WESTFIELD,MA,US,CITY,1,CASES
1920,24,WESTFIELD,MA,US,CITY,1,CASES
1920,27,WESTFIELD,MA,US,CITY,1,CASES
1920,28,WESTFIELD,MA,US,CITY,1,CASES
1920,29,WESTFIELD,MA,US,CITY,1,CASES
1920,30,WESTFIELD,MA,US,CITY,1,CASES
1920,33,WESTFIELD,MA,US,CITY,1,CASES
1920,34,WESTFIELD,MA,US,CITY,1,CASES
1920,35,WESTFIELD,MA,US,CITY,1,CASES
1920,36,WESTFIELD,MA,US,CITY,2,CASES
1920,43,WESTFIELD,MA,US,CITY,1,CASES
1920,45,WESTFIELD,MA,US,CITY,1,CASES
1920,51,WESTFIELD,MA,US,CITY,1,CASES
1921,4,WESTFIELD,MA,US,CITY,1,CASES
1921,11,WESTFIELD,MA,US,CITY,1,CASES
1921,16,WESTFIELD,MA,US,CITY,1,CASES
1921,17,WESTFIELD,MA,US,CITY,1,CASES
1921,25,WESTFIELD,MA,US,CITY,2,CASES
1921,32,WESTFIELD,MA,US,CITY,1,CASES
1921,33,WESTFIELD,MA,US,CITY,1,CASES
1921,34,WESTFIELD,MA,US,CITY,1,CASES
1921,36,WESTFIELD,MA,US,CITY,1,CASES
1921,39,WESTFIELD,MA,US,CITY,1,CASES
1921,41,WESTFIELD,MA,US,CITY,1,CASES
1921,42,WESTFIELD,MA,US,CITY,3,CASES
1921,44,WESTFIELD,MA,US,CITY,2,CASES
1921,47,WESTFIELD,MA,US,CITY,4,CASES
1921,48,WESTFIELD,MA,US,CITY,1,CASES
1921,49,WESTFIELD,MA,US,CITY,1,CASES
1921,51,WESTFIELD,MA,US,CITY,2,CASES
1922,2,WESTFIELD,MA,US,CITY,1,CASES
1922,18,WESTFIELD,MA,US,CITY,1,CASES
1922,25,WESTFIELD,MA,US,CITY,1,CASES
1922,31,WESTFIELD,MA,US,CITY,2,CASES
1922,32,WESTFIELD,MA,US,CITY,2,CASES
1922,34,WESTFIELD,MA,US,CITY,2,CASES
1922,35,WESTFIELD,MA,US,CITY,2,CASES
1922,36,WESTFIELD,MA,US,CITY,2,CASES
1922,37,WESTFIELD,MA,US,CITY,2,CASES
1922,38,WESTFIELD,MA,US,CITY,3,CASES
1922,39,WESTFIELD,MA,US,CITY,2,CASES
1922,40,WESTFIELD,MA,US,CITY,3,CASES
1922,41,WESTFIELD,MA,US,CITY,2,CASES
1922,42,WESTFIELD,MA,US,CITY,5,CASES
1922,43,WESTFIELD,MA,US,CITY,7,CASES
1922,44,WESTFIELD,MA,US,CITY,2,CASES
1922,45,WESTFIELD,MA,US,CITY,3,CASES
1922,46,WESTFIELD,MA,US,CITY,1,CASES
1922,47,WESTFIELD,MA,US,CITY,3,CASES
1922,50,WESTFIELD,MA,US,CITY,1,CASES
1922,51,WESTFIELD,MA,US,CITY,1,CASES
1922,52,WESTFIELD,MA,US,CITY,2,CASES
1923,1,WESTFIELD,MA,US,CITY,2,CASES
1923,3,WESTFIELD,MA,US,CITY,1,CASES
1923,4,WESTFIELD,MA,US,CITY,2,CASES
1923,5,WESTFIELD,MA,US,CITY,2,CASES
1923,6,WESTFIELD,MA,US,CITY,1,CASES
1923,7,WESTFIELD,MA,US,CITY,3,CASES
1923,8,WESTFIELD,MA,US,CITY,2,CASES
1923,9,WESTFIELD,MA,US,CITY,1,CASES
1923,10,WESTFIELD,MA,US,CITY,2,CASES
1923,12,WESTFIELD,MA,US,CITY,1,CASES
1923,14,WESTFIELD,MA,US,CITY,1,CASES
1923,25,WESTFIELD,MA,US,CITY,1,CASES
1923,26,WESTFIELD,MA,US,CITY,1,CASES
1923,29,WESTFIELD,MA,US,CITY,1,CASES
1923,45,WESTFIELD,MA,US,CITY,3,CASES
1923,49,WESTFIELD,MA,US,CITY,2,CASES
