year,week,loc,state,country,loc_type,number,event
1907,3,WHEELING,WV,US,CITY,1,CASES
1907,7,WHEELING,WV,US,CITY,1,CASES
1907,10,WHEELING,WV,US,CITY,2,CASES
1907,11,WHEELING,WV,US,CITY,2,CASES
1907,13,WHEELING,WV,US,CITY,2,CASES
1907,17,WHEELING,WV,US,CITY,7,CASES
1907,18,WHEELING,WV,US,CITY,4,CASES
1907,19,WHEELING,WV,US,CITY,5,CASES
1907,20,WHEELING,WV,US,CITY,2,CASES
1907,22,WHEELING,WV,US,CITY,1,CASES
1909,1,WHEELING,WV,US,CITY,6,CASES
1909,2,WHEELING,WV,US,CITY,2,CASES
1909,4,WHEELING,WV,US,CITY,3,CASES
1909,5,WHEELING,WV,US,CITY,2,CASES
1909,6,WHEELING,WV,US,CITY,4,CASES
1909,7,WHEELING,WV,US,CITY,1,CASES
1909,8,WHEELING,WV,US,CITY,1,CASES
1909,9,WHEELING,WV,US,CITY,2,CASES
1909,10,WHEELING,WV,US,CITY,6,CASES
1909,11,WHEELING,WV,US,CITY,2,CASES
1909,12,WHEELING,WV,US,CITY,1,CASES
1909,13,WHEELING,WV,US,CITY,6,CASES
1909,14,WHEELING,WV,US,CITY,5,CASES
1909,15,WHEELING,WV,US,CITY,16,CASES
1909,16,WHEELING,WV,US,CITY,10,CASES
1909,17,WHEELING,WV,US,CITY,11,CASES
1909,18,WHEELING,WV,US,CITY,19,CASES
1909,19,WHEELING,WV,US,CITY,14,CASES
1909,20,WHEELING,WV,US,CITY,9,CASES
1909,21,WHEELING,WV,US,CITY,9,CASES
1909,22,WHEELING,WV,US,CITY,7,CASES
1909,23,WHEELING,WV,US,CITY,1,CASES
1909,24,WHEELING,WV,US,CITY,5,CASES
1909,26,WHEELING,WV,US,CITY,1,CASES
1909,27,WHEELING,WV,US,CITY,1,CASES
1909,28,WHEELING,WV,US,CITY,2,CASES
1909,30,WHEELING,WV,US,CITY,2,CASES
1909,35,WHEELING,WV,US,CITY,1,CASES
1909,36,WHEELING,WV,US,CITY,1,CASES
1909,38,WHEELING,WV,US,CITY,1,CASES
1909,40,WHEELING,WV,US,CITY,2,CASES
1909,42,WHEELING,WV,US,CITY,2,CASES
1909,43,WHEELING,WV,US,CITY,1,CASES
1909,44,WHEELING,WV,US,CITY,1,CASES
1909,45,WHEELING,WV,US,CITY,3,CASES
1909,46,WHEELING,WV,US,CITY,1,CASES
1909,47,WHEELING,WV,US,CITY,4,CASES
1909,48,WHEELING,WV,US,CITY,1,CASES
1909,52,WHEELING,WV,US,CITY,1,CASES
1910,3,WHEELING,WV,US,CITY,1,CASES
1910,4,WHEELING,WV,US,CITY,1,CASES
1910,6,WHEELING,WV,US,CITY,1,CASES
1910,8,WHEELING,WV,US,CITY,2,CASES
1910,10,WHEELING,WV,US,CITY,2,CASES
1910,11,WHEELING,WV,US,CITY,2,CASES
1910,12,WHEELING,WV,US,CITY,1,CASES
1910,13,WHEELING,WV,US,CITY,1,CASES
1910,16,WHEELING,WV,US,CITY,8,CASES
1910,17,WHEELING,WV,US,CITY,8,CASES
1910,18,WHEELING,WV,US,CITY,16,CASES
1910,19,WHEELING,WV,US,CITY,10,CASES
1910,20,WHEELING,WV,US,CITY,10,CASES
1910,21,WHEELING,WV,US,CITY,4,CASES
1910,22,WHEELING,WV,US,CITY,6,CASES
1910,24,WHEELING,WV,US,CITY,2,CASES
1910,25,WHEELING,WV,US,CITY,1,CASES
1910,26,WHEELING,WV,US,CITY,4,CASES
1910,27,WHEELING,WV,US,CITY,4,CASES
1910,28,WHEELING,WV,US,CITY,2,CASES
1910,30,WHEELING,WV,US,CITY,1,CASES
1910,32,WHEELING,WV,US,CITY,1,CASES
1911,8,WHEELING,WV,US,CITY,1,CASES
1911,11,WHEELING,WV,US,CITY,3,CASES
1911,14,WHEELING,WV,US,CITY,36,CASES
1911,15,WHEELING,WV,US,CITY,22,CASES
1911,17,WHEELING,WV,US,CITY,90,CASES
1911,18,WHEELING,WV,US,CITY,119,CASES
1911,23,WHEELING,WV,US,CITY,33,CASES
1911,24,WHEELING,WV,US,CITY,41,CASES
1911,25,WHEELING,WV,US,CITY,29,CASES
1911,41,WHEELING,WV,US,CITY,2,CASES
1911,45,WHEELING,WV,US,CITY,1,CASES
1911,46,WHEELING,WV,US,CITY,3,CASES
1911,47,WHEELING,WV,US,CITY,2,CASES
1911,50,WHEELING,WV,US,CITY,3,CASES
1912,4,WHEELING,WV,US,CITY,2,CASES
1912,5,WHEELING,WV,US,CITY,1,CASES
1912,11,WHEELING,WV,US,CITY,4,CASES
1912,12,WHEELING,WV,US,CITY,4,CASES
1912,13,WHEELING,WV,US,CITY,1,CASES
1912,14,WHEELING,WV,US,CITY,3,CASES
1912,23,WHEELING,WV,US,CITY,6,CASES
1912,25,WHEELING,WV,US,CITY,5,CASES
1912,26,WHEELING,WV,US,CITY,6,CASES
1912,27,WHEELING,WV,US,CITY,4,CASES
1912,28,WHEELING,WV,US,CITY,1,CASES
1912,29,WHEELING,WV,US,CITY,3,CASES
1912,32,WHEELING,WV,US,CITY,3,CASES
1912,34,WHEELING,WV,US,CITY,1,CASES
1912,43,WHEELING,WV,US,CITY,1,CASES
1912,44,WHEELING,WV,US,CITY,1,CASES
1912,45,WHEELING,WV,US,CITY,3,CASES
1912,46,WHEELING,WV,US,CITY,19,CASES
1912,47,WHEELING,WV,US,CITY,12,CASES
1912,48,WHEELING,WV,US,CITY,10,CASES
1912,49,WHEELING,WV,US,CITY,23,CASES
1912,50,WHEELING,WV,US,CITY,23,CASES
1912,51,WHEELING,WV,US,CITY,38,CASES
1913,1,WHEELING,WV,US,CITY,35,CASES
1913,2,WHEELING,WV,US,CITY,38,CASES
1913,3,WHEELING,WV,US,CITY,31,CASES
1913,4,WHEELING,WV,US,CITY,39,CASES
1913,5,WHEELING,WV,US,CITY,27,CASES
1913,6,WHEELING,WV,US,CITY,29,CASES
1913,7,WHEELING,WV,US,CITY,21,CASES
1913,8,WHEELING,WV,US,CITY,29,CASES
1913,10,WHEELING,WV,US,CITY,32,CASES
1913,11,WHEELING,WV,US,CITY,21,CASES
1913,12,WHEELING,WV,US,CITY,16,CASES
1913,13,WHEELING,WV,US,CITY,13,CASES
1913,14,WHEELING,WV,US,CITY,6,CASES
1913,15,WHEELING,WV,US,CITY,13,CASES
1913,16,WHEELING,WV,US,CITY,9,CASES
1913,17,WHEELING,WV,US,CITY,11,CASES
1913,18,WHEELING,WV,US,CITY,6,CASES
1913,19,WHEELING,WV,US,CITY,9,CASES
1913,20,WHEELING,WV,US,CITY,3,CASES
1913,21,WHEELING,WV,US,CITY,9,CASES
1913,22,WHEELING,WV,US,CITY,6,CASES
1913,23,WHEELING,WV,US,CITY,12,CASES
1913,24,WHEELING,WV,US,CITY,9,CASES
1913,25,WHEELING,WV,US,CITY,4,CASES
1913,27,WHEELING,WV,US,CITY,4,CASES
1913,28,WHEELING,WV,US,CITY,9,CASES
1913,29,WHEELING,WV,US,CITY,4,CASES
1913,32,WHEELING,WV,US,CITY,3,CASES
1913,48,WHEELING,WV,US,CITY,1,CASES
1913,52,WHEELING,WV,US,CITY,1,CASES
1914,3,WHEELING,WV,US,CITY,1,CASES
1914,7,WHEELING,WV,US,CITY,2,CASES
1914,11,WHEELING,WV,US,CITY,5,CASES
1914,12,WHEELING,WV,US,CITY,1,CASES
1914,14,WHEELING,WV,US,CITY,1,CASES
1914,15,WHEELING,WV,US,CITY,3,CASES
1914,17,WHEELING,WV,US,CITY,1,CASES
1914,18,WHEELING,WV,US,CITY,3,CASES
1914,19,WHEELING,WV,US,CITY,1,CASES
1914,20,WHEELING,WV,US,CITY,4,CASES
1914,21,WHEELING,WV,US,CITY,4,CASES
1914,22,WHEELING,WV,US,CITY,13,CASES
1914,23,WHEELING,WV,US,CITY,16,CASES
1914,24,WHEELING,WV,US,CITY,4,CASES
1914,25,WHEELING,WV,US,CITY,16,CASES
1914,26,WHEELING,WV,US,CITY,6,CASES
1914,27,WHEELING,WV,US,CITY,4,CASES
1914,28,WHEELING,WV,US,CITY,1,CASES
1914,29,WHEELING,WV,US,CITY,4,CASES
1914,30,WHEELING,WV,US,CITY,1,CASES
1914,41,WHEELING,WV,US,CITY,1,CASES
1914,46,WHEELING,WV,US,CITY,1,CASES
1915,6,WHEELING,WV,US,CITY,1,CASES
1915,8,WHEELING,WV,US,CITY,1,CASES
1915,11,WHEELING,WV,US,CITY,1,CASES
1915,12,WHEELING,WV,US,CITY,2,CASES
1915,13,WHEELING,WV,US,CITY,1,CASES
1915,16,WHEELING,WV,US,CITY,2,CASES
1915,22,WHEELING,WV,US,CITY,1,CASES
1915,24,WHEELING,WV,US,CITY,1,CASES
1915,27,WHEELING,WV,US,CITY,10,CASES
1915,28,WHEELING,WV,US,CITY,10,CASES
1915,29,WHEELING,WV,US,CITY,6,CASES
1915,30,WHEELING,WV,US,CITY,3,CASES
1915,37,WHEELING,WV,US,CITY,3,CASES
1915,40,WHEELING,WV,US,CITY,1,CASES
1915,44,WHEELING,WV,US,CITY,1,CASES
1915,48,WHEELING,WV,US,CITY,2,CASES
1915,49,WHEELING,WV,US,CITY,1,CASES
1915,50,WHEELING,WV,US,CITY,3,CASES
1915,51,WHEELING,WV,US,CITY,6,CASES
1915,52,WHEELING,WV,US,CITY,7,CASES
1916,1,WHEELING,WV,US,CITY,15,CASES
1916,2,WHEELING,WV,US,CITY,13,CASES
