year,week,loc,state,country,loc_type,number,event
1918,19,WHITE PLAINS,NY,US,CITY,3,CASES
1918,20,WHITE PLAINS,NY,US,CITY,2,CASES
1918,23,WHITE PLAINS,NY,US,CITY,1,CASES
1918,24,WHITE PLAINS,NY,US,CITY,1,CASES
1918,25,WHITE PLAINS,NY,US,CITY,1,CASES
1918,49,WHITE PLAINS,NY,US,CITY,2,CASES
1919,2,WHITE PLAINS,NY,US,CITY,2,CASES
1919,6,WHITE PLAINS,NY,US,CITY,1,CASES
1919,7,WHITE PLAINS,NY,US,CITY,1,CASES
1919,8,WHITE PLAINS,NY,US,CITY,4,CASES
1919,9,WHITE PLAINS,NY,US,CITY,1,CASES
1919,10,WHITE PLAINS,NY,US,CITY,4,CASES
1919,11,WHITE PLAINS,NY,US,CITY,1,CASES
1919,12,WHITE PLAINS,NY,US,CITY,1,CASES
1919,13,WHITE PLAINS,NY,US,CITY,3,CASES
1919,16,WHITE PLAINS,NY,US,CITY,2,CASES
1919,18,WHITE PLAINS,NY,US,CITY,2,CASES
1919,19,WHITE PLAINS,NY,US,CITY,3,CASES
1919,24,WHITE PLAINS,NY,US,CITY,1,CASES
1919,29,WHITE PLAINS,NY,US,CITY,1,CASES
1919,31,WHITE PLAINS,NY,US,CITY,2,CASES
1919,33,WHITE PLAINS,NY,US,CITY,1,CASES
1919,38,WHITE PLAINS,NY,US,CITY,1,CASES
1919,42,WHITE PLAINS,NY,US,CITY,1,CASES
1919,43,WHITE PLAINS,NY,US,CITY,2,CASES
1919,45,WHITE PLAINS,NY,US,CITY,1,CASES
1919,49,WHITE PLAINS,NY,US,CITY,1,CASES
1919,51,WHITE PLAINS,NY,US,CITY,2,CASES
1919,52,WHITE PLAINS,NY,US,CITY,2,CASES
1920,3,WHITE PLAINS,NY,US,CITY,3,CASES
1920,6,WHITE PLAINS,NY,US,CITY,1,CASES
1920,10,WHITE PLAINS,NY,US,CITY,1,CASES
1920,11,WHITE PLAINS,NY,US,CITY,1,CASES
1920,12,WHITE PLAINS,NY,US,CITY,2,CASES
1920,13,WHITE PLAINS,NY,US,CITY,2,CASES
1920,14,WHITE PLAINS,NY,US,CITY,1,CASES
1920,15,WHITE PLAINS,NY,US,CITY,1,CASES
1920,16,WHITE PLAINS,NY,US,CITY,2,CASES
1920,17,WHITE PLAINS,NY,US,CITY,5,CASES
1920,18,WHITE PLAINS,NY,US,CITY,4,CASES
1920,20,WHITE PLAINS,NY,US,CITY,1,CASES
1920,24,WHITE PLAINS,NY,US,CITY,3,CASES
1920,25,WHITE PLAINS,NY,US,CITY,1,CASES
1920,27,WHITE PLAINS,NY,US,CITY,1,CASES
1920,30,WHITE PLAINS,NY,US,CITY,1,CASES
1920,35,WHITE PLAINS,NY,US,CITY,1,CASES
1920,36,WHITE PLAINS,NY,US,CITY,1,CASES
1920,40,WHITE PLAINS,NY,US,CITY,1,CASES
1920,43,WHITE PLAINS,NY,US,CITY,1,CASES
1920,48,WHITE PLAINS,NY,US,CITY,1,CASES
1920,49,WHITE PLAINS,NY,US,CITY,1,CASES
1920,50,WHITE PLAINS,NY,US,CITY,4,CASES
1920,52,WHITE PLAINS,NY,US,CITY,1,CASES
1921,2,WHITE PLAINS,NY,US,CITY,1,CASES
1921,3,WHITE PLAINS,NY,US,CITY,1,CASES
