year,week,loc,state,country,loc_type,number,event
1915,49,WICHITA,KS,US,CITY,3,CASES
1916,1,WICHITA,KS,US,CITY,2,CASES
1916,2,WICHITA,KS,US,CITY,3,CASES
1916,4,WICHITA,KS,US,CITY,2,CASES
1916,5,WICHITA,KS,US,CITY,6,CASES
1916,6,WICHITA,KS,US,CITY,2,CASES
1916,7,WICHITA,KS,US,CITY,1,CASES
1916,8,WICHITA,KS,US,CITY,1,CASES
1916,9,WICHITA,KS,US,CITY,3,CASES
1916,10,WICHITA,KS,US,CITY,7,CASES
1916,11,WICHITA,KS,US,CITY,1,CASES
1916,12,WICHITA,KS,US,CITY,2,CASES
1916,13,WICHITA,KS,US,CITY,4,CASES
1916,14,WICHITA,KS,US,CITY,2,CASES
1916,16,WICHITA,KS,US,CITY,4,CASES
1916,19,WICHITA,KS,US,CITY,1,CASES
1916,24,WICHITA,KS,US,CITY,1,CASES
1916,31,WICHITA,KS,US,CITY,1,CASES
1916,33,WICHITA,KS,US,CITY,1,CASES
1916,38,WICHITA,KS,US,CITY,1,CASES
1916,44,WICHITA,KS,US,CITY,1,CASES
1916,47,WICHITA,KS,US,CITY,2,CASES
1916,52,WICHITA,KS,US,CITY,5,CASES
1917,2,WICHITA,KS,US,CITY,8,CASES
1917,3,WICHITA,KS,US,CITY,10,CASES
1917,4,WICHITA,KS,US,CITY,3,CASES
1917,5,WICHITA,KS,US,CITY,3,CASES
1917,6,WICHITA,KS,US,CITY,3,CASES
1917,7,WICHITA,KS,US,CITY,2,CASES
1917,8,WICHITA,KS,US,CITY,2,CASES
1917,9,WICHITA,KS,US,CITY,3,CASES
1917,10,WICHITA,KS,US,CITY,1,CASES
1917,11,WICHITA,KS,US,CITY,1,CASES
1917,12,WICHITA,KS,US,CITY,2,CASES
1917,15,WICHITA,KS,US,CITY,1,CASES
1917,16,WICHITA,KS,US,CITY,2,CASES
1917,17,WICHITA,KS,US,CITY,1,CASES
1917,19,WICHITA,KS,US,CITY,1,CASES
1917,20,WICHITA,KS,US,CITY,4,CASES
1917,21,WICHITA,KS,US,CITY,1,CASES
1917,22,WICHITA,KS,US,CITY,1,CASES
1917,25,WICHITA,KS,US,CITY,1,CASES
1917,45,WICHITA,KS,US,CITY,5,CASES
1917,47,WICHITA,KS,US,CITY,1,CASES
1917,48,WICHITA,KS,US,CITY,2,CASES
1917,49,WICHITA,KS,US,CITY,3,CASES
1917,51,WICHITA,KS,US,CITY,5,CASES
1917,52,WICHITA,KS,US,CITY,11,CASES
1918,1,WICHITA,KS,US,CITY,7,CASES
1918,2,WICHITA,KS,US,CITY,8,CASES
1918,3,WICHITA,KS,US,CITY,6,CASES
1918,5,WICHITA,KS,US,CITY,4,CASES
1918,6,WICHITA,KS,US,CITY,5,CASES
1918,7,WICHITA,KS,US,CITY,11,CASES
1918,8,WICHITA,KS,US,CITY,2,CASES
1918,9,WICHITA,KS,US,CITY,7,CASES
1918,10,WICHITA,KS,US,CITY,13,CASES
1918,11,WICHITA,KS,US,CITY,2,CASES
1918,12,WICHITA,KS,US,CITY,5,CASES
1918,13,WICHITA,KS,US,CITY,8,CASES
1918,14,WICHITA,KS,US,CITY,10,CASES
1918,15,WICHITA,KS,US,CITY,4,CASES
1918,16,WICHITA,KS,US,CITY,3,CASES
1918,17,WICHITA,KS,US,CITY,1,CASES
1918,18,WICHITA,KS,US,CITY,1,CASES
1918,19,WICHITA,KS,US,CITY,7,CASES
1918,20,WICHITA,KS,US,CITY,4,CASES
1918,21,WICHITA,KS,US,CITY,2,CASES
1918,26,WICHITA,KS,US,CITY,2,CASES
1918,29,WICHITA,KS,US,CITY,1,CASES
1918,40,WICHITA,KS,US,CITY,2,CASES
1918,41,WICHITA,KS,US,CITY,3,CASES
1918,42,WICHITA,KS,US,CITY,5,CASES
1918,43,WICHITA,KS,US,CITY,36,CASES
1918,44,WICHITA,KS,US,CITY,6,CASES
1918,46,WICHITA,KS,US,CITY,7,CASES
1918,49,WICHITA,KS,US,CITY,4,CASES
1918,50,WICHITA,KS,US,CITY,6,CASES
1918,51,WICHITA,KS,US,CITY,1,CASES
1919,2,WICHITA,KS,US,CITY,3,CASES
1919,3,WICHITA,KS,US,CITY,5,CASES
1919,4,WICHITA,KS,US,CITY,1,CASES
1919,48,WICHITA,KS,US,CITY,2,CASES
1919,49,WICHITA,KS,US,CITY,1,CASES
1919,50,WICHITA,KS,US,CITY,1,CASES
1919,52,WICHITA,KS,US,CITY,3,CASES
1920,1,WICHITA,KS,US,CITY,4,CASES
1920,2,WICHITA,KS,US,CITY,1,CASES
1920,3,WICHITA,KS,US,CITY,3,CASES
1920,4,WICHITA,KS,US,CITY,3,CASES
1920,5,WICHITA,KS,US,CITY,7,CASES
1920,6,WICHITA,KS,US,CITY,52,CASES
1920,7,WICHITA,KS,US,CITY,14,CASES
1920,8,WICHITA,KS,US,CITY,4,CASES
1920,9,WICHITA,KS,US,CITY,5,CASES
1920,10,WICHITA,KS,US,CITY,2,CASES
1920,11,WICHITA,KS,US,CITY,1,CASES
1920,12,WICHITA,KS,US,CITY,5,CASES
1920,14,WICHITA,KS,US,CITY,3,CASES
1920,16,WICHITA,KS,US,CITY,4,CASES
1920,19,WICHITA,KS,US,CITY,1,CASES
1920,22,WICHITA,KS,US,CITY,1,CASES
1920,23,WICHITA,KS,US,CITY,2,CASES
1920,24,WICHITA,KS,US,CITY,2,CASES
1920,29,WICHITA,KS,US,CITY,1,CASES
1920,30,WICHITA,KS,US,CITY,1,CASES
1920,43,WICHITA,KS,US,CITY,1,CASES
1920,47,WICHITA,KS,US,CITY,1,CASES
1920,48,WICHITA,KS,US,CITY,1,CASES
1920,49,WICHITA,KS,US,CITY,1,CASES
1920,50,WICHITA,KS,US,CITY,2,CASES
1920,51,WICHITA,KS,US,CITY,1,CASES
1920,52,WICHITA,KS,US,CITY,8,CASES
1921,3,WICHITA,KS,US,CITY,6,CASES
1921,5,WICHITA,KS,US,CITY,2,CASES
1921,6,WICHITA,KS,US,CITY,5,CASES
1921,7,WICHITA,KS,US,CITY,3,CASES
1921,10,WICHITA,KS,US,CITY,3,CASES
1921,12,WICHITA,KS,US,CITY,3,CASES
1921,16,WICHITA,KS,US,CITY,7,CASES
1921,31,WICHITA,KS,US,CITY,2,CASES
1921,32,WICHITA,KS,US,CITY,1,CASES
1921,41,WICHITA,KS,US,CITY,1,CASES
1921,51,WICHITA,KS,US,CITY,7,CASES
1922,1,WICHITA,KS,US,CITY,3,CASES
1922,2,WICHITA,KS,US,CITY,3,CASES
1922,4,WICHITA,KS,US,CITY,10,CASES
1922,5,WICHITA,KS,US,CITY,9,CASES
1922,6,WICHITA,KS,US,CITY,5,CASES
1922,8,WICHITA,KS,US,CITY,10,CASES
1922,11,WICHITA,KS,US,CITY,6,CASES
1922,12,WICHITA,KS,US,CITY,8,CASES
1922,16,WICHITA,KS,US,CITY,2,CASES
1922,23,WICHITA,KS,US,CITY,1,CASES
1922,29,WICHITA,KS,US,CITY,1,CASES
1922,36,WICHITA,KS,US,CITY,2,CASES
1922,38,WICHITA,KS,US,CITY,3,CASES
1922,42,WICHITA,KS,US,CITY,2,CASES
1922,47,WICHITA,KS,US,CITY,2,CASES
1922,49,WICHITA,KS,US,CITY,2,CASES
1922,50,WICHITA,KS,US,CITY,2,CASES
1923,5,WICHITA,KS,US,CITY,5,CASES
1923,6,WICHITA,KS,US,CITY,6,CASES
1923,7,WICHITA,KS,US,CITY,10,CASES
1923,8,WICHITA,KS,US,CITY,21,CASES
1923,51,WICHITA,KS,US,CITY,3,CASES
