year,week,loc,state,country,loc_type,number,event
1912,12,WILKES-BARRE,PA,US,CITY,1,CASES
1912,13,WILKES-BARRE,PA,US,CITY,1,CASES
1912,14,WILKES-BARRE,PA,US,CITY,4,CASES
1912,27,WILKES-BARRE,PA,US,CITY,1,CASES
1912,36,WILKES-BARRE,PA,US,CITY,1,CASES
1912,40,WILKES-BARRE,PA,US,CITY,1,CASES
1912,41,WILKES-BARRE,PA,US,CITY,1,CASES
1912,45,WILKES-BARRE,PA,US,CITY,1,CASES
1912,47,WILKES-BARRE,PA,US,CITY,2,CASES
1912,48,WILKES-BARRE,PA,US,CITY,1,CASES
1912,49,WILKES-BARRE,PA,US,CITY,1,CASES
1913,2,WILKES-BARRE,PA,US,CITY,1,CASES
1913,6,WILKES-BARRE,PA,US,CITY,1,CASES
1913,10,WILKES-BARRE,PA,US,CITY,2,CASES
1913,12,WILKES-BARRE,PA,US,CITY,1,CASES
1913,13,WILKES-BARRE,PA,US,CITY,2,CASES
1913,15,WILKES-BARRE,PA,US,CITY,1,CASES
1913,16,WILKES-BARRE,PA,US,CITY,1,CASES
1913,17,WILKES-BARRE,PA,US,CITY,1,CASES
1913,18,WILKES-BARRE,PA,US,CITY,2,CASES
1913,34,WILKES-BARRE,PA,US,CITY,1,CASES
1914,1,WILKES-BARRE,PA,US,CITY,2,CASES
1914,10,WILKES-BARRE,PA,US,CITY,1,CASES
1914,13,WILKES-BARRE,PA,US,CITY,1,CASES
1914,15,WILKES-BARRE,PA,US,CITY,1,CASES
1914,17,WILKES-BARRE,PA,US,CITY,1,CASES
1914,49,WILKES-BARRE,PA,US,CITY,1,CASES
1915,6,WILKES-BARRE,PA,US,CITY,1,CASES
1915,15,WILKES-BARRE,PA,US,CITY,2,CASES
1915,25,WILKES-BARRE,PA,US,CITY,1,CASES
1915,47,WILKES-BARRE,PA,US,CITY,1,CASES
1915,48,WILKES-BARRE,PA,US,CITY,1,CASES
1916,38,WILKES-BARRE,PA,US,CITY,1,CASES
1918,40,WILKES-BARRE,PA,US,CITY,2,CASES
