year,week,loc,state,country,loc_type,number,event
1924,10,WILMINGTON,DE,US,CITY,0,CASES
1924,25,WILMINGTON,DE,US,CITY,0,CASES
1924,31,WILMINGTON,DE,US,CITY,0,CASES
1924,39,WILMINGTON,DE,US,CITY,0,CASES
1924,48,WILMINGTON,DE,US,CITY,0,CASES
1925,7,WILMINGTON,DE,US,CITY,0,CASES
1925,12,WILMINGTON,DE,US,CITY,0,CASES
1925,42,WILMINGTON,DE,US,CITY,0,CASES
1926,15,WILMINGTON,DE,US,CITY,0,CASES
1926,34,WILMINGTON,DE,US,CITY,0,CASES
1926,37,WILMINGTON,DE,US,CITY,0,CASES
1927,35,WILMINGTON,DE,US,CITY,0,CASES
1927,39,WILMINGTON,DE,US,CITY,0,CASES
1927,42,WILMINGTON,DE,US,CITY,0,CASES
1927,44,WILMINGTON,DE,US,CITY,0,CASES
1927,47,WILMINGTON,DE,US,CITY,0,CASES
1928,38,WILMINGTON,DE,US,CITY,0,CASES
1928,44,WILMINGTON,DE,US,CITY,0,CASES
1929,30,WILMINGTON,DE,US,CITY,0,CASES
1930,1,WILMINGTON,DE,US,CITY,0,CASES
1930,3,WILMINGTON,DE,US,CITY,0,CASES
1930,8,WILMINGTON,DE,US,CITY,0,CASES
1930,10,WILMINGTON,DE,US,CITY,0,CASES
1930,31,WILMINGTON,DE,US,CITY,0,CASES
1930,34,WILMINGTON,DE,US,CITY,0,CASES
1930,36,WILMINGTON,DE,US,CITY,0,CASES
1930,51,WILMINGTON,DE,US,CITY,0,CASES
1931,20,WILMINGTON,DE,US,CITY,0,CASES
1931,23,WILMINGTON,DE,US,CITY,0,CASES
1931,31,WILMINGTON,DE,US,CITY,0,CASES
