year,week,loc,state,country,loc_type,number,event
1917,25,WILMINGTON,DE,US,CITY,3,CASES
1917,27,WILMINGTON,DE,US,CITY,2,CASES
1918,21,WILMINGTON,DE,US,CITY,3,CASES
1918,23,WILMINGTON,DE,US,CITY,2,CASES
1918,24,WILMINGTON,DE,US,CITY,2,CASES
1918,36,WILMINGTON,DE,US,CITY,3,CASES
1918,38,WILMINGTON,DE,US,CITY,2,CASES
1918,40,WILMINGTON,DE,US,CITY,36,CASES
1918,47,WILMINGTON,DE,US,CITY,3,CASES
1918,48,WILMINGTON,DE,US,CITY,5,CASES
1918,50,WILMINGTON,DE,US,CITY,6,CASES
1918,51,WILMINGTON,DE,US,CITY,5,CASES
1918,52,WILMINGTON,DE,US,CITY,7,CASES
1919,1,WILMINGTON,DE,US,CITY,6,CASES
1919,2,WILMINGTON,DE,US,CITY,13,CASES
1919,3,WILMINGTON,DE,US,CITY,8,CASES
1921,32,WILMINGTON,DE,US,CITY,4,CASES
