year,week,loc,state,country,loc_type,number,event
1908,26,WINONA,MN,US,CITY,1,CASES
1907,51,WINONA,MN,US,CITY,1,CASES
1907,50,WINONA,MN,US,CITY,1,CASES
1907,48,WINONA,MN,US,CITY,1,CASES
1907,46,WINONA,MN,US,CITY,2,CASES
1907,23,WINONA,MN,US,CITY,1,CASES
1907,19,WINONA,MN,US,CITY,2,CASES
1907,17,WINONA,MN,US,CITY,3,CASES
1907,16,WINONA,MN,US,CITY,2,CASES
1907,15,WINONA,MN,US,CITY,2,CASES
1907,14,WINONA,MN,US,CITY,2,CASES
1907,13,WINONA,MN,US,CITY,2,CASES
1907,12,WINONA,MN,US,CITY,2,CASES
1907,11,WINONA,MN,US,CITY,1,CASES
1901,25,WINONA,MN,US,CITY,2,CASES
1900,51,WINONA,MN,US,CITY,60,CASES
1900,31,WINONA,MN,US,CITY,2,CASES
1918,19,WINONA,MN,US,CITY,2,CASES
1918,42,WINONA,MN,US,CITY,1,CASES
1919,19,WINONA,MN,US,CITY,1,CASES
1919,47,WINONA,MN,US,CITY,1,CASES
1920,8,WINONA,MN,US,CITY,1,CASES
1920,11,WINONA,MN,US,CITY,7,CASES
1920,12,WINONA,MN,US,CITY,1,CASES
1920,14,WINONA,MN,US,CITY,2,CASES
1920,15,WINONA,MN,US,CITY,1,CASES
1920,20,WINONA,MN,US,CITY,1,CASES
1920,21,WINONA,MN,US,CITY,2,CASES
1920,25,WINONA,MN,US,CITY,2,CASES
1920,26,WINONA,MN,US,CITY,3,CASES
1920,28,WINONA,MN,US,CITY,1,CASES
1920,30,WINONA,MN,US,CITY,3,CASES
1920,33,WINONA,MN,US,CITY,1,CASES
1920,34,WINONA,MN,US,CITY,1,CASES
1920,38,WINONA,MN,US,CITY,1,CASES
1920,39,WINONA,MN,US,CITY,6,CASES
1920,41,WINONA,MN,US,CITY,6,CASES
1920,42,WINONA,MN,US,CITY,26,CASES
1920,43,WINONA,MN,US,CITY,14,CASES
1920,44,WINONA,MN,US,CITY,5,CASES
1920,45,WINONA,MN,US,CITY,5,CASES
1920,46,WINONA,MN,US,CITY,14,CASES
1920,47,WINONA,MN,US,CITY,4,CASES
1920,48,WINONA,MN,US,CITY,20,CASES
1920,49,WINONA,MN,US,CITY,24,CASES
1920,50,WINONA,MN,US,CITY,8,CASES
1920,51,WINONA,MN,US,CITY,7,CASES
1920,52,WINONA,MN,US,CITY,10,CASES
1921,1,WINONA,MN,US,CITY,9,CASES
1921,4,WINONA,MN,US,CITY,4,CASES
1921,5,WINONA,MN,US,CITY,8,CASES
1921,6,WINONA,MN,US,CITY,2,CASES
1921,7,WINONA,MN,US,CITY,1,CASES
1921,8,WINONA,MN,US,CITY,5,CASES
1921,9,WINONA,MN,US,CITY,9,CASES
1921,10,WINONA,MN,US,CITY,7,CASES
1921,11,WINONA,MN,US,CITY,3,CASES
1921,12,WINONA,MN,US,CITY,2,CASES
1921,14,WINONA,MN,US,CITY,3,CASES
1921,16,WINONA,MN,US,CITY,1,CASES
1921,17,WINONA,MN,US,CITY,2,CASES
1921,18,WINONA,MN,US,CITY,6,CASES
1921,26,WINONA,MN,US,CITY,4,CASES
1922,3,WINONA,MN,US,CITY,1,CASES
1922,6,WINONA,MN,US,CITY,1,CASES
1922,10,WINONA,MN,US,CITY,1,CASES
1922,11,WINONA,MN,US,CITY,1,CASES
1922,13,WINONA,MN,US,CITY,1,CASES
1922,19,WINONA,MN,US,CITY,1,CASES
1923,27,WINONA,MN,US,CITY,1,CASES
1923,28,WINONA,MN,US,CITY,5,CASES
1923,29,WINONA,MN,US,CITY,1,CASES
1923,32,WINONA,MN,US,CITY,1,CASES
1920,29,WINONA,MN,US,CITY,4,CASES
