year,week,loc,state,country,loc_type,number,event
1906,39,WORCESTER,MA,US,CITY,1,CASES
1906,40,WORCESTER,MA,US,CITY,7,CASES
1906,41,WORCESTER,MA,US,CITY,4,CASES
1906,42,WORCESTER,MA,US,CITY,3,CASES
1906,43,WORCESTER,MA,US,CITY,2,CASES
1906,44,WORCESTER,MA,US,CITY,1,CASES
1906,45,WORCESTER,MA,US,CITY,5,CASES
1906,46,WORCESTER,MA,US,CITY,6,CASES
1906,47,WORCESTER,MA,US,CITY,6,CASES
1906,48,WORCESTER,MA,US,CITY,9,CASES
1906,49,WORCESTER,MA,US,CITY,3,CASES
1906,50,WORCESTER,MA,US,CITY,7,CASES
1906,51,WORCESTER,MA,US,CITY,1,CASES
1906,52,WORCESTER,MA,US,CITY,5,CASES
1907,1,WORCESTER,MA,US,CITY,4,CASES
1907,2,WORCESTER,MA,US,CITY,7,CASES
1907,3,WORCESTER,MA,US,CITY,5,CASES
1907,4,WORCESTER,MA,US,CITY,6,CASES
1907,5,WORCESTER,MA,US,CITY,10,CASES
1907,6,WORCESTER,MA,US,CITY,14,CASES
1907,7,WORCESTER,MA,US,CITY,10,CASES
1907,8,WORCESTER,MA,US,CITY,12,CASES
1907,9,WORCESTER,MA,US,CITY,9,CASES
1907,10,WORCESTER,MA,US,CITY,10,CASES
1907,11,WORCESTER,MA,US,CITY,5,CASES
1907,12,WORCESTER,MA,US,CITY,3,CASES
1907,13,WORCESTER,MA,US,CITY,4,CASES
1907,14,WORCESTER,MA,US,CITY,7,CASES
1907,15,WORCESTER,MA,US,CITY,8,CASES
1907,16,WORCESTER,MA,US,CITY,3,CASES
1907,17,WORCESTER,MA,US,CITY,10,CASES
1907,18,WORCESTER,MA,US,CITY,10,CASES
1907,19,WORCESTER,MA,US,CITY,7,CASES
1907,20,WORCESTER,MA,US,CITY,6,CASES
1907,21,WORCESTER,MA,US,CITY,4,CASES
1907,22,WORCESTER,MA,US,CITY,3,CASES
1907,23,WORCESTER,MA,US,CITY,4,CASES
1907,24,WORCESTER,MA,US,CITY,6,CASES
1907,25,WORCESTER,MA,US,CITY,4,CASES
1907,26,WORCESTER,MA,US,CITY,1,CASES
1907,27,WORCESTER,MA,US,CITY,3,CASES
1907,28,WORCESTER,MA,US,CITY,2,CASES
1907,29,WORCESTER,MA,US,CITY,2,CASES
1907,30,WORCESTER,MA,US,CITY,2,CASES
1907,31,WORCESTER,MA,US,CITY,3,CASES
1907,32,WORCESTER,MA,US,CITY,3,CASES
1907,33,WORCESTER,MA,US,CITY,2,CASES
1907,34,WORCESTER,MA,US,CITY,3,CASES
1907,35,WORCESTER,MA,US,CITY,5,CASES
1907,36,WORCESTER,MA,US,CITY,1,CASES
1907,37,WORCESTER,MA,US,CITY,5,CASES
1907,38,WORCESTER,MA,US,CITY,2,CASES
1907,39,WORCESTER,MA,US,CITY,4,CASES
1907,40,WORCESTER,MA,US,CITY,4,CASES
1907,41,WORCESTER,MA,US,CITY,5,CASES
1907,42,WORCESTER,MA,US,CITY,2,CASES
1907,43,WORCESTER,MA,US,CITY,4,CASES
1907,44,WORCESTER,MA,US,CITY,6,CASES
1907,45,WORCESTER,MA,US,CITY,4,CASES
1907,46,WORCESTER,MA,US,CITY,5,CASES
1907,47,WORCESTER,MA,US,CITY,9,CASES
1907,47,WORCESTER,MA,US,CITY,6,CASES
1907,49,WORCESTER,MA,US,CITY,12,CASES
1907,50,WORCESTER,MA,US,CITY,9,CASES
1907,51,WORCESTER,MA,US,CITY,5,CASES
1907,52,WORCESTER,MA,US,CITY,11,CASES
1908,1,WORCESTER,MA,US,CITY,19,CASES
1908,2,WORCESTER,MA,US,CITY,16,CASES
1908,3,WORCESTER,MA,US,CITY,33,CASES
1908,4,WORCESTER,MA,US,CITY,27,CASES
1908,5,WORCESTER,MA,US,CITY,15,CASES
1908,6,WORCESTER,MA,US,CITY,11,CASES
1908,7,WORCESTER,MA,US,CITY,21,CASES
