year,week,loc,state,country,loc_type,number,event
1908,40,YORK,PA,US,CITY,1,CASES
1908,43,YORK,PA,US,CITY,2,CASES
1908,44,YORK,PA,US,CITY,2,CASES
1908,47,YORK,PA,US,CITY,2,CASES
1908,48,YORK,PA,US,CITY,4,CASES
1909,1,YORK,PA,US,CITY,1,CASES
1908,53,YORK,PA,US,CITY,2,CASES
1909,2,YORK,PA,US,CITY,5,CASES
1909,3,YORK,PA,US,CITY,2,CASES
1909,4,YORK,PA,US,CITY,3,CASES
1909,5,YORK,PA,US,CITY,1,CASES
1909,6,YORK,PA,US,CITY,3,CASES
1909,7,YORK,PA,US,CITY,2,CASES
1909,8,YORK,PA,US,CITY,2,CASES
1909,9,YORK,PA,US,CITY,2,CASES
1909,10,YORK,PA,US,CITY,5,CASES
1909,11,YORK,PA,US,CITY,4,CASES
1909,12,YORK,PA,US,CITY,3,CASES
1909,13,YORK,PA,US,CITY,4,CASES
1909,14,YORK,PA,US,CITY,10,CASES
1909,15,YORK,PA,US,CITY,5,CASES
1909,16,YORK,PA,US,CITY,3,CASES
1909,17,YORK,PA,US,CITY,1,CASES
1909,18,YORK,PA,US,CITY,3,CASES
1909,19,YORK,PA,US,CITY,1,CASES
1909,20,YORK,PA,US,CITY,3,CASES
1909,21,YORK,PA,US,CITY,5,CASES
1909,22,YORK,PA,US,CITY,2,CASES
1909,23,YORK,PA,US,CITY,1,CASES
1909,25,YORK,PA,US,CITY,3,CASES
1909,28,YORK,PA,US,CITY,1,CASES
1909,39,YORK,PA,US,CITY,2,CASES
1909,40,YORK,PA,US,CITY,1,CASES
1909,44,YORK,PA,US,CITY,1,CASES
1909,46,YORK,PA,US,CITY,1,CASES
1909,48,YORK,PA,US,CITY,1,CASES
1909,47,YORK,PA,US,CITY,2,CASES
1909,49,YORK,PA,US,CITY,2,CASES
1909,50,YORK,PA,US,CITY,1,CASES
1909,52,YORK,PA,US,CITY,1,CASES
1910,2,YORK,PA,US,CITY,2,CASES
1910,3,YORK,PA,US,CITY,2,CASES
1910,4,YORK,PA,US,CITY,1,CASES
1910,5,YORK,PA,US,CITY,1,CASES
1910,6,YORK,PA,US,CITY,2,CASES
1910,7,YORK,PA,US,CITY,2,CASES
1910,8,YORK,PA,US,CITY,3,CASES
1910,9,YORK,PA,US,CITY,3,CASES
1910,11,YORK,PA,US,CITY,1,CASES
1910,14,YORK,PA,US,CITY,1,CASES
1910,15,YORK,PA,US,CITY,1,CASES
1910,16,YORK,PA,US,CITY,2,CASES
1910,18,YORK,PA,US,CITY,3,CASES
1910,20,YORK,PA,US,CITY,2,CASES
1910,25,YORK,PA,US,CITY,1,CASES
1910,50,YORK,PA,US,CITY,1,CASES
1910,51,YORK,PA,US,CITY,2,CASES
1911,1,YORK,PA,US,CITY,4,CASES
1911,6,YORK,PA,US,CITY,1,CASES
1911,7,YORK,PA,US,CITY,1,CASES
1911,11,YORK,PA,US,CITY,1,CASES
1911,24,YORK,PA,US,CITY,1,CASES
1911,52,YORK,PA,US,CITY,1,CASES
1912,5,YORK,PA,US,CITY,1,CASES
1912,6,YORK,PA,US,CITY,1,CASES
1912,8,YORK,PA,US,CITY,2,CASES
1912,10,YORK,PA,US,CITY,4,CASES
1912,11,YORK,PA,US,CITY,1,CASES
1912,14,YORK,PA,US,CITY,1,CASES
1912,15,YORK,PA,US,CITY,2,CASES
1912,19,YORK,PA,US,CITY,1,CASES
1912,20,YORK,PA,US,CITY,2,CASES
1912,22,YORK,PA,US,CITY,1,CASES
1912,28,YORK,PA,US,CITY,1,CASES
1912,43,YORK,PA,US,CITY,1,CASES
1912,45,YORK,PA,US,CITY,2,CASES
1912,46,YORK,PA,US,CITY,2,CASES
1912,47,YORK,PA,US,CITY,4,CASES
1912,50,YORK,PA,US,CITY,3,CASES
1912,52,YORK,PA,US,CITY,1,CASES
1913,1,YORK,PA,US,CITY,2,CASES
1913,3,YORK,PA,US,CITY,1,CASES
1913,4,YORK,PA,US,CITY,3,CASES
1913,5,YORK,PA,US,CITY,1,CASES
1913,6,YORK,PA,US,CITY,2,CASES
1913,7,YORK,PA,US,CITY,1,CASES
1913,8,YORK,PA,US,CITY,1,CASES
1913,10,YORK,PA,US,CITY,2,CASES
1913,11,YORK,PA,US,CITY,7,CASES
1913,12,YORK,PA,US,CITY,6,CASES
1913,13,YORK,PA,US,CITY,3,CASES
1913,14,YORK,PA,US,CITY,4,CASES
1913,15,YORK,PA,US,CITY,1,CASES
1913,16,YORK,PA,US,CITY,4,CASES
1913,17,YORK,PA,US,CITY,4,CASES
1913,18,YORK,PA,US,CITY,2,CASES
1913,19,YORK,PA,US,CITY,2,CASES
1913,20,YORK,PA,US,CITY,3,CASES
1913,21,YORK,PA,US,CITY,8,CASES
1913,28,YORK,PA,US,CITY,1,CASES
1913,29,YORK,PA,US,CITY,1,CASES
1913,36,YORK,PA,US,CITY,1,CASES
1913,38,YORK,PA,US,CITY,1,CASES
1913,44,YORK,PA,US,CITY,2,CASES
1913,45,YORK,PA,US,CITY,2,CASES
1913,52,YORK,PA,US,CITY,1,CASES
1914,10,YORK,PA,US,CITY,1,CASES
1914,11,YORK,PA,US,CITY,2,CASES
1914,12,YORK,PA,US,CITY,1,CASES
1914,13,YORK,PA,US,CITY,1,CASES
1914,17,YORK,PA,US,CITY,1,CASES
1914,26,YORK,PA,US,CITY,1,CASES
1914,36,YORK,PA,US,CITY,1,CASES
1914,45,YORK,PA,US,CITY,1,CASES
1914,49,YORK,PA,US,CITY,2,CASES
1914,51,YORK,PA,US,CITY,1,CASES
1915,1,YORK,PA,US,CITY,1,CASES
1915,2,YORK,PA,US,CITY,1,CASES
1915,3,YORK,PA,US,CITY,1,CASES
1915,5,YORK,PA,US,CITY,1,CASES
1915,6,YORK,PA,US,CITY,1,CASES
1915,8,YORK,PA,US,CITY,1,CASES
1915,10,YORK,PA,US,CITY,2,CASES
1915,17,YORK,PA,US,CITY,2,CASES
1915,24,YORK,PA,US,CITY,2,CASES
1915,51,YORK,PA,US,CITY,2,CASES
1915,52,YORK,PA,US,CITY,1,CASES
1916,1,YORK,PA,US,CITY,2,CASES
1916,38,YORK,PA,US,CITY,1,CASES
1916,39,YORK,PA,US,CITY,1,CASES
1916,40,YORK,PA,US,CITY,1,CASES
1916,42,YORK,PA,US,CITY,1,CASES
1916,49,YORK,PA,US,CITY,4,CASES
1916,50,YORK,PA,US,CITY,2,CASES
1917,2,YORK,PA,US,CITY,7,CASES
1917,3,YORK,PA,US,CITY,2,CASES
1917,4,YORK,PA,US,CITY,2,CASES
1917,5,YORK,PA,US,CITY,4,CASES
1917,6,YORK,PA,US,CITY,1,CASES
1917,7,YORK,PA,US,CITY,1,CASES
1917,11,YORK,PA,US,CITY,1,CASES
1917,17,YORK,PA,US,CITY,1,CASES
1917,27,YORK,PA,US,CITY,1,CASES
1917,28,YORK,PA,US,CITY,1,CASES
